date,USDAUD=X,USDCAD=X,USDCHF=X,USDCNY=X,USDDKK=X,USDEUR=X,USDGBP=X,USDHKD=X,USDJPY=X,USDNOK=X,USDNZD=X,USDSEK=X,USDSGD=X
2015-01-01,1.2226,1.1611,0.9941,6.2087,6.1531,0.8262,0.6417,7.7566,119.75,7.4648,1.283,7.8149,1.3241
2015-01-02,1.2365,1.1785,1.0019,6.2087,6.2029,0.8333,0.6524,7.757,120.53,7.6244,1.3002,7.9371,1.3321
2015-01-05,1.2373,1.1764,1.007,6.221,6.2365,0.8381,0.6558,7.7563,119.64,7.6497,1.3014,7.9549,1.3357
2015-01-06,1.2369,1.1837,1.0103,6.2144,6.259,0.8411,0.6601,7.7545,118.4,7.7519,1.2887,7.9235,1.3339
2015-01-07,1.2381,1.1815,1.0144,6.2138,6.2853,0.8447,0.6618,7.7551,119.26,7.716,1.2852,7.9796,1.3411
2015-01-08,1.2312,1.1831,1.0185,6.2151,6.3085,0.8478,0.6627,7.7548,119.67,7.6328,1.2784,8.0345,1.3371
2015-01-09,1.2192,1.1867,1.0145,6.2097,6.2829,0.8444,0.6599,7.7535,118.51,7.6717,1.277,8.0682,1.3339
2015-01-12,1.2261,1.1975,1.015,6.206,6.2869,0.8451,0.6592,7.7532,118.36,7.7561,1.2854,8.0796,1.3346
2015-01-13,1.2246,1.196,1.0202,6.2027,6.3184,0.8495,0.6597,7.7532,117.93,7.7646,1.2925,8.0754,1.3337
2015-01-14,1.2275,1.1952,1.0188,6.1981,6.3093,0.8483,0.6565,7.7545,117.34,7.6261,1.2955,8.088,1.3358
2015-01-15,1.2165,1.1964,0.8408,6.1893,6.3901,0.8597,0.6586,7.7532,116.17,7.5901,1.2783,8.1079,1.3268
2015-01-16,1.2161,1.199,0.8619,6.2097,6.428,0.865,0.6603,7.7518,117.52,7.5759,1.2858,8.1019,1.3281
2015-01-19,1.2178,1.1942,0.88,6.2212,6.4052,0.8616,0.6618,7.7525,117.57,7.6344,1.2853,8.1487,1.334
2015-01-20,1.2239,1.2113,0.8759,6.2143,6.4366,0.8659,0.6603,7.7532,118.82,7.681,1.3093,8.1825,1.3373
2015-01-21,1.2359,1.2341,0.861,6.2128,6.4041,0.8613,0.6604,7.751,117.97,7.5965,1.3243,8.1806,1.3356
2015-01-22,1.2465,1.2381,0.872,6.2099,6.5497,0.88,0.6663,7.7534,118.5,7.666,1.3333,8.2384,1.3397
2015-01-23,1.2651,1.242,0.8828,6.2298,6.6455,0.8923,0.6671,7.7531,117.78,7.7923,1.342,8.352,1.3456
2015-01-26,1.2624,1.2475,0.9033,6.2599,6.6287,0.8897,0.6631,7.752,118.46,7.8148,1.3469,8.3228,1.345
2015-01-27,1.2601,1.24,0.9036,6.2441,6.5398,0.8788,0.6581,7.7525,117.88,7.7546,1.3409,8.1892,1.3391
2015-01-28,1.2679,1.2536,0.9056,6.2478,6.5962,0.8861,0.6606,7.7522,117.56,7.8534,1.366,8.301,1.3534
2015-01-29,1.2883,1.2616,0.9241,6.2473,6.5744,0.8834,0.6638,7.7522,118.29,7.8359,1.3768,8.282,1.3542
2015-01-30,1.2875,1.2733,0.9215,6.2511,6.5921,0.8862,0.6639,7.7522,117.5,7.7424,1.38,8.2919,1.3548
2015-02-02,1.2817,1.2564,0.9284,6.2604,6.5636,0.882,0.665,7.7531,117.58,7.6566,1.3693,8.3217,1.3524
2015-02-03,1.2835,1.2416,0.9245,6.2585,6.4847,0.871,0.6594,7.7541,117.57,7.5274,1.3596,8.2196,1.3468
2015-02-04,1.2898,1.2575,0.9265,6.2486,6.5615,0.882,0.6587,7.7526,117.28,7.6086,1.3585,8.2898,1.3492
2015-02-05,1.2825,1.2435,0.9215,6.2538,6.4858,0.8714,0.6524,7.7527,117.54,7.5226,1.3524,8.2513,1.345
2015-02-06,1.2834,1.2528,0.9277,6.2451,6.5756,0.8838,0.6559,7.7532,119.13,7.6432,1.3595,8.4096,1.3541
2015-02-09,1.2818,1.2467,0.9239,6.2478,6.5734,0.8832,0.6573,7.754,118.64,7.6222,1.3495,8.37,1.3545
2015-02-10,1.2869,1.2588,0.9266,6.2426,6.5752,0.8833,0.6556,7.7537,119.44,7.5852,1.3512,8.3311,1.3551
2015-02-11,1.2958,1.2633,0.9295,6.2428,6.5666,0.8823,0.6563,7.7548,120.46,7.6557,1.3587,8.3814,1.3616
2015-02-12,1.2931,1.2509,0.9311,6.246,6.5289,0.8769,0.6501,7.7544,119.12,7.6477,1.3472,8.4469,1.3569
2015-02-13,1.2912,1.2448,0.9334,6.241,6.5347,0.8778,0.6499,7.7568,118.76,7.615,1.3439,8.4459,1.356
2015-02-16,1.2868,1.2467,0.9322,6.2498,6.557,0.8808,0.6509,7.7596,118.49,7.5778,1.3352,8.4275,1.3571
2015-02-17,1.2792,1.239,0.9373,6.2553,6.5233,0.8763,0.6514,7.7598,119.26,7.5261,1.3263,8.3317,1.3559
2015-02-18,1.2804,1.2455,0.9424,6.2564,6.5326,0.8774,0.6479,7.7587,118.79,7.5328,1.3254,8.3695,1.356
2015-02-19,1.2836,1.2496,0.9497,6.2559,6.5486,0.8797,0.6488,7.7585,118.95,7.5913,1.3305,8.4275,1.3586
2015-02-20,1.2758,1.2531,0.939,6.2572,6.5575,0.8787,0.6494,7.76,119.04,7.5512,1.3301,8.4128,1.3612
2015-02-23,1.2816,1.2571,0.95,6.2575,6.5817,0.8823,0.647,7.7575,118.82,7.6221,1.3295,8.4181,1.3599
2015-02-24,1.2771,1.2487,0.9511,6.2614,6.5802,0.8819,0.6471,7.7574,118.98,7.5964,1.3351,8.4185,1.3575
2015-02-25,1.2682,1.2436,0.9486,6.2605,6.5736,0.8803,0.644,7.7574,118.87,7.5492,1.3234,8.3056,1.3534
2015-02-26,1.2822,1.2516,0.9529,6.2593,6.6631,0.8931,0.6491,7.755,119.42,7.6687,1.3277,8.4077,1.3587
2015-02-27,1.2812,1.2517,0.9546,6.27,6.6653,0.8931,0.6482,7.7567,119.63,7.6863,1.3233,8.3424,1.3644
2015-03-02,1.2879,1.2535,0.9589,6.2734,6.6617,0.8942,0.6509,7.7558,120.14,7.7101,1.3319,8.3405,1.3659
2015-03-03,1.2794,1.2497,0.9616,6.2753,6.6691,0.8948,0.651,7.7557,119.74,7.7197,1.3248,8.2788,1.363
2015-03-04,1.2794,1.2428,0.9635,6.2718,6.7302,0.9026,0.6552,7.7558,119.68,7.7858,1.3183,8.3323,1.3682
2015-03-05,1.2851,1.2487,0.9743,6.2666,6.7571,0.9068,0.6562,7.7565,120.14,7.7289,1.336,8.3439,1.3712
2015-03-06,1.2968,1.2625,0.9867,6.264,6.8692,0.9223,0.6651,7.7578,120.83,7.9198,1.3592,8.4677,1.3782
2015-03-09,1.2984,1.2605,0.9861,6.265,6.8659,0.9215,0.6611,7.7604,121.16,7.9357,1.3601,8.4952,1.381
2015-03-10,1.3115,1.2689,0.9997,6.2624,6.9657,0.9348,0.6636,7.762,121.14,8.0931,1.375,8.5646,1.3908
2015-03-11,1.3167,1.275,1.0095,6.2631,7.0678,0.9482,0.6698,7.7711,121.46,8.2129,1.3711,8.6502,1.3892
2015-03-12,1.2975,1.2686,1.0025,6.2634,7.0126,0.9403,0.672,7.7699,121.29,8.1089,1.354,8.5919,1.3822
2015-03-13,1.3099,1.2784,1.0064,6.2598,7.108,0.9528,0.6784,7.7663,121.4,8.2194,1.3642,8.7218,1.3934
2015-03-16,1.309,1.2774,1.0078,6.2625,7.0623,0.9462,0.6744,7.765,121.34,8.2759,1.3576,8.6638,1.391
2015-03-17,1.3129,1.2789,1.0064,6.2502,7.0392,0.9437,0.678,7.7628,121.37,8.318,1.3689,8.6896,1.389
2015-03-18,1.2864,1.2566,0.9789,6.2299,6.8616,0.92,0.6676,7.7606,120.12,8.1746,1.3366,8.5838,1.3771
2015-03-19,1.3075,1.2718,0.9903,6.1964,6.9886,0.9382,0.6779,7.761,120.78,8.0943,1.3491,8.6807,1.3876
2015-03-20,1.2869,1.2552,0.976,6.206,6.8902,0.9243,0.6688,7.7587,120.04,8.0427,1.3224,8.6306,1.381
2015-03-23,1.269,1.2523,0.9664,6.2149,6.8125,0.9137,0.6688,7.7573,119.73,7.8935,1.307,8.5059,1.3653
