date,USDAUD=X,USDCAD=X,USDCHF=X,USDCNY=X,USDDKK=X,USDEUR=X,USDGBP=X,USDHKD=X,USDJPY=X,USDNOK=X,USDNZD=X,USDSEK=X,USDSGD=X
2015-01-01,1.2222,1.161,0.9937,6.2067,6.1529,0.8261,0.6417,7.7538,119.74,7.4392,1.2827,7.7913,1.3229
2015-01-02,1.2354,1.1784,1.0015,6.2067,6.2027,0.8332,0.6523,7.7562,120.47,7.5575,1.2977,7.9266,1.3305
2015-01-05,1.2365,1.1762,1.0068,6.2191,6.2363,0.838,0.6557,7.7555,119.63,7.6265,1.3009,7.9221,1.335
2015-01-06,1.2367,1.1835,1.01,6.2123,6.2588,0.841,0.66,7.754,118.39,7.7415,1.2884,7.9136,1.3327
2015-01-07,1.2379,1.1814,1.0142,6.2118,6.2845,0.8446,0.6617,7.7547,119.25,7.6933,1.2847,7.9727,1.3383
2015-01-08,1.2311,1.183,1.0182,6.2131,6.3084,0.8477,0.6626,7.7543,119.66,7.6202,1.2783,8.0249,1.3364
2015-01-09,1.2186,1.1866,1.014,6.2077,6.2827,0.8443,0.6595,7.7527,118.5,7.6365,1.2758,8.0477,1.3329
2015-01-12,1.2259,1.1974,1.0147,6.2019,6.2867,0.845,0.6591,7.7527,118.34,7.7339,1.285,8.0664,1.3339
2015-01-13,1.2244,1.1958,1.02,6.1964,6.3181,0.8494,0.6596,7.7527,117.92,7.7515,1.292,8.0661,1.3332
2015-01-14,1.2272,1.1951,1.0186,6.1956,6.3091,0.8482,0.6564,7.7539,117.33,7.6173,1.2953,8.0802,1.3342
2015-01-15,1.2159,1.1959,0.8375,6.1873,6.3891,0.8596,0.6585,7.7525,116.16,7.5681,1.2774,8.0965,1.3258
2015-01-16,1.2152,1.1979,0.8556,6.2058,6.4279,0.8649,0.6602,7.7504,117.5,7.5305,1.2818,8.079,1.3261
2015-01-19,1.2176,1.1939,0.8792,6.2195,6.4051,0.8615,0.6617,7.7519,117.55,7.6133,1.285,8.1199,1.3334
2015-01-20,1.2236,1.2112,0.8755,6.2132,6.4364,0.8658,0.6602,7.752,118.81,7.6647,1.309,8.166,1.3366
2015-01-21,1.2356,1.234,0.8595,6.2118,6.4039,0.8613,0.6604,7.7505,117.96,7.5803,1.3238,8.1653,1.334
2015-01-22,1.2456,1.238,0.8705,6.208,6.5495,0.8799,0.6662,7.7525,118.49,7.6458,1.3327,8.2206,1.339
2015-01-23,1.2631,1.2419,0.8774,6.2275,6.6453,0.8922,0.667,7.751,117.77,7.7391,1.3395,8.3186,1.3439
2015-01-26,1.2616,1.2474,0.9025,6.2512,6.6285,0.8896,0.663,7.7515,118.45,7.7933,1.3466,8.2971,1.3444
2015-01-27,1.2597,1.2399,0.9023,6.2424,6.5396,0.8787,0.658,7.7517,117.86,7.7092,1.3406,8.1747,1.3386
2015-01-28,1.2677,1.2535,0.9044,6.2467,6.596,0.8859,0.6605,7.7516,117.53,7.8096,1.3655,8.2924,1.3527
2015-01-29,1.288,1.2615,0.9236,6.2462,6.5743,0.8834,0.6637,7.7517,118.28,7.8227,1.3765,8.2713,1.3534
2015-01-30,1.2866,1.2732,0.9188,6.2501,6.5919,0.8861,0.6636,7.7516,117.48,7.7158,1.3772,8.28,1.3536
2015-02-02,1.2817,1.2563,0.9277,6.2594,6.5634,0.8819,0.665,7.7524,117.57,7.6424,1.369,8.3132,1.3514
2015-02-03,1.2834,1.2415,0.9233,6.2579,6.4837,0.871,0.6593,7.7538,117.56,7.5066,1.358,8.2152,1.3458
2015-02-04,1.2893,1.2574,0.926,6.2476,6.5613,0.8819,0.6586,7.7522,117.27,7.5957,1.3573,8.2813,1.3482
2015-02-05,1.2822,1.2434,0.9209,6.2519,6.4856,0.8713,0.6523,7.7522,117.52,7.5059,1.3518,8.2431,1.3444
2015-02-06,1.2817,1.2527,0.9258,6.2441,6.5754,0.8838,0.6558,7.7527,119.12,7.6182,1.3582,8.3839,1.352
2015-02-09,1.2816,1.2466,0.9234,6.2468,6.5724,0.8831,0.6573,7.7533,118.63,7.6106,1.3492,8.3503,1.353
2015-02-10,1.2867,1.2587,0.9262,6.2409,6.5751,0.8833,0.6555,7.7532,119.42,7.5761,1.3506,8.3228,1.3546
2015-02-11,1.2952,1.2631,0.928,6.2422,6.5663,0.8822,0.6561,7.754,120.45,7.6387,1.3577,8.3671,1.3606
2015-02-12,1.2926,1.2508,0.9307,6.245,6.5287,0.8768,0.65,7.7536,119.11,7.6301,1.3464,8.4384,1.356
2015-02-13,1.2854,1.2447,0.931,6.24,6.5337,0.8778,0.6495,7.7543,118.75,7.5641,1.3371,8.401,1.3545
2015-02-16,1.2863,1.2465,0.9315,6.2488,6.556,0.8806,0.6508,7.7587,118.47,7.5612,1.3325,8.409,1.3566
2015-02-17,1.279,1.2388,0.9366,6.2543,6.5231,0.8763,0.6512,7.7594,119.25,7.5112,1.326,8.3175,1.3554
2015-02-18,1.2801,1.2454,0.9421,6.2544,6.5324,0.8774,0.6478,7.7582,118.78,7.5221,1.3249,8.3576,1.3555
2015-02-19,1.2832,1.2495,0.9493,6.2539,6.5484,0.8796,0.6486,7.7579,118.94,7.582,1.3301,8.4194,1.3578
2015-02-20,1.2742,1.253,0.9373,6.2552,6.5565,0.8786,0.6494,7.757,119.02,7.503,1.3272,8.3568,1.3592
2015-02-23,1.2814,1.257,0.9497,6.2555,6.5815,0.8822,0.6469,7.7563,118.81,7.611,1.3288,8.4106,1.3593
2015-02-24,1.2768,1.2486,0.9504,6.2505,6.58,0.8818,0.6471,7.7567,118.97,7.5796,1.3347,8.4111,1.3571
2015-02-25,1.2678,1.2435,0.9483,6.2594,6.5734,0.8802,0.6439,7.7567,118.86,7.5409,1.3232,8.2972,1.353
2015-02-26,1.2818,1.2514,0.9524,6.2582,6.6629,0.893,0.649,7.7544,119.41,7.6487,1.327,8.4019,1.3575
2015-02-27,1.2791,1.2512,0.9541,6.2687,6.6643,0.893,0.6477,7.7543,119.62,7.6448,1.3208,8.3322,1.3614
2015-03-02,1.2877,1.2534,0.9582,6.2723,6.6615,0.8941,0.6508,7.7552,120.13,7.6767,1.3311,8.3305,1.3651
2015-03-03,1.2791,1.2496,0.961,6.274,6.6689,0.8947,0.6509,7.7551,119.72,7.7042,1.3241,8.2702,1.3625
2015-03-04,1.2791,1.2427,0.9629,6.2701,6.73,0.9026,0.6551,7.7553,119.67,7.7686,1.3175,8.3245,1.3675
2015-03-05,1.2848,1.2486,0.9735,6.2657,6.7569,0.9068,0.6562,7.755,120.13,7.7174,1.3357,8.3365,1.3707
2015-03-06,1.2952,1.2624,0.9852,6.2622,6.8682,0.9222,0.6648,7.7559,120.82,7.8947,1.3578,8.4589,1.3769
2015-03-09,1.2982,1.2604,0.9856,6.2641,6.8657,0.9214,0.661,7.7599,121.15,7.9261,1.3591,8.4797,1.3804
2015-03-10,1.3112,1.2688,0.9994,6.2614,6.9656,0.9347,0.6636,7.7608,121.13,8.0818,1.3742,8.5543,1.3903
2015-03-11,1.3163,1.2749,1.009,6.2618,7.0676,0.9481,0.6698,7.7705,121.45,8.2033,1.3706,8.6314,1.3887
2015-03-12,1.2972,1.2685,1.0021,6.2615,7.0123,0.9403,0.6719,7.769,121.28,8.0958,1.3532,8.5857,1.3812
2015-03-13,1.309,1.2783,1.0048,6.2579,7.1071,0.9527,0.678,7.7652,121.39,8.2028,1.3606,8.7055,1.3921
2015-03-16,1.309,1.2773,1.0075,6.2615,7.0621,0.9461,0.6743,7.7644,121.33,8.2619,1.3572,8.6591,1.3902
2015-03-17,1.3127,1.2788,1.0061,6.2492,7.0389,0.9436,0.678,7.7624,121.36,8.3068,1.3684,8.6814,1.3879
2015-03-18,1.2859,1.2565,0.9778,6.2289,6.8615,0.9199,0.6676,7.7583,120.1,8.1597,1.3356,8.5724,1.3764
2015-03-19,1.307,1.2717,0.9898,6.1954,6.9884,0.9381,0.6778,7.7585,120.77,8.0835,1.3481,8.6645,1.3872
2015-03-20,1.2857,1.2551,0.9743,6.2032,6.8892,0.9241,0.6686,7.7566,120.03,7.9959,1.3206,8.6155,1.3764
2015-03-23,1.2689,1.2522,0.966,6.214,6.8122,0.9136,0.6687,7.7555,119.72,7.8566,1.3065,8.4919,1.3645
2015-03-24,1.2691,1.2492,0.9581,6.2051,6.8313,0.9154,0.6734,7.7562,119.75,7.8536,1.3064,8.4858,1.366
2015-03-25,1.2745,1.2519,0.9594,6.2122,6.8084,0.9115,0.672,7.7545,119.48,7.8319,1.3147,8.4862,1.3705
2015-03-26,1.2773,1.2482,0.9629,6.2109,6.8619,0.9187,0.6734,7.7542,119.18,7.9013,1.3158,8.583,1.3703
2015-03-27,1.2903,1.2609,0.9611,6.2149,6.8587,0.9182,0.6722,7.753,119.13,7.9674,1.3206,8.5763,1.3687
2015-03-30,1.3064,1.2675,0.9668,6.2073,6.8961,0.9229,0.6751,7.7543,120.07,8.01,1.3326,8.588,1.3761
2015-03-31,1.3146,1.2685,0.9725,6.1992,6.962,0.9316,0.6748,7.7521,120.12,8.0511,1.3385,8.6269,1.3721
2015-04-01,1.3157,1.262,0.9668,6.1978,6.9411,0.9291,0.6746,7.7522,119.76,8.0273,1.3417,8.6632,1.3626
2015-04-02,1.3171,1.2558,0.9594,6.1965,6.8693,0.9191,0.6744,7.7525,119.72,7.9841,1.3311,8.6299,1.3571
2015-04-03,1.3098,1.2481,0.9492,6.1939,6.8133,0.9111,0.6701,7.7507,118.97,7.9019,1.3084,8.5443,1.3491
2015-04-06,1.3173,1.248,0.9584,6.1939,6.8423,0.9155,0.6719,7.7523,119.53,7.9538,1.3256,8.564,1.3531
2015-04-07,1.3097,1.2505,0.9658,6.1976,6.9085,0.9246,0.6753,7.7515,120.27,8.0772,1.3339,8.6719,1.3603
2015-04-08,1.3012,1.2545,0.9662,6.2015,6.9325,0.9275,0.6726,7.7502,120.13,8.0446,1.3238,8.6647,1.3563
2015-04-09,1.2999,1.2578,0.9775,6.2054,7.0099,0.9381,0.6796,7.7499,120.57,8.1007,1.3214,8.753,1.3592
2015-04-10,1.3012,1.2564,0.9789,6.2082,7.047,0.9431,0.6833,7.7498,120.22,8.088,1.326,8.8103,1.3678
2015-04-13,1.3175,1.2596,0.9778,6.2148,7.0708,0.9463,0.6814,7.7499,120.13,8.0838,1.3413,8.8176,1.3713
2015-04-14,1.3111,1.2485,0.9723,6.2114,7.0095,0.9385,0.6764,7.7523,119.39,7.9403,1.3294,8.7617,1.3603
2015-04-15,1.3017,1.229,0.9642,6.2046,6.9899,0.9359,0.6737,7.7508,119.13,7.8119,1.3163,8.7223,1.3568
2015-04-16,1.2813,1.2188,0.9557,6.1966,6.9362,0.9292,0.6696,7.7522,119.01,7.7435,1.3029,8.5862,1.3494
2015-04-17,1.2837,1.2244,0.951,6.1977,6.9032,0.9253,0.6681,7.7517,118.9,7.8135,1.2996,8.62,1.3454
2015-04-20,1.2944,1.2223,0.9561,6.2014,6.9497,0.9313,0.6708,7.7498,119.17,7.8759,1.3047,8.6931,1.3481
2015-04-21,1.2966,1.228,0.9546,6.2012,6.9501,0.9314,0.6699,7.75,119.67,7.876,1.3033,8.6605,1.3508
2015-04-22,1.2892,1.2237,0.9714,6.1943,6.9576,0.9323,0.665,7.75,119.91,7.8869,1.3042,8.7268,1.3476
2015-04-23,1.2856,1.2143,0.9545,6.1975,6.8922,0.9238,0.6641,7.7497,119.58,7.8143,1.3167,8.6297,1.3414
2015-04-24,1.2771,1.2172,0.9521,6.1943,6.8614,0.9195,0.6584,7.7495,118.98,7.756,1.3143,8.6173,1.3314
2015-04-27,1.2723,1.2085,0.9546,6.2195,6.8507,0.9183,0.6562,7.7498,119.03,7.7202,1.3078,8.5946,1.3279
2015-04-28,1.2465,1.2033,0.9553,6.2049,6.7959,0.9106,0.6519,7.75,118.85,7.6268,1.2951,8.5121,1.3169
2015-04-29,1.2483,1.2019,0.9392,6.1988,6.7051,0.8986,0.6477,7.7503,119.01,7.5163,1.3002,8.3274,1.319
2015-04-30,1.2649,1.2076,0.9323,6.2025,6.6514,0.891,0.6514,7.7503,119.37,7.5198,1.3129,8.3284,1.3234
2015-05-01,1.2732,1.2158,0.9317,6.2025,6.6664,0.893,0.6597,7.7516,120.14,7.5945,1.3251,8.3907,1.3286
2015-05-04,1.2756,1.2095,0.9335,6.2087,6.6969,0.897,0.6613,7.7522,120.12,7.5869,1.3268,8.3663,1.3315
2015-05-05,1.259,1.2068,0.9263,6.2057,6.672,0.894,0.6587,7.7511,119.85,7.5655,1.3229,8.3455,1.3319
2015-05-06,1.2548,1.2047,0.9158,6.1999,6.5798,0.8812,0.6559,7.7516,119.46,7.4314,1.3334,8.2187,1.323
2015-05-07,1.2646,1.2129,0.9215,6.2063,6.624,0.8875,0.6558,7.7532,119.73,7.4431,1.3419,8.2542,1.332
2015-05-08,1.2601,1.2071,0.9292,6.2091,6.6621,0.892,0.6476,7.7529,119.76,7.4425,1.3337,8.2526,1.3278
2015-05-11,1.2672,1.2102,0.934,6.2092,6.6906,0.8964,0.6416,7.752,120.08,7.5649,1.3632,8.2934,1.3371
2015-05-12,1.2535,1.2018,0.929,6.2089,6.6552,0.8918,0.638,7.7514,119.86,7.4821,1.3579,8.3302,1.3335
2015-05-13,1.2325,1.1957,0.9165,6.2043,6.5754,0.8807,0.6351,7.7515,119.15,7.3797,1.3359,8.2362,1.3246
2015-05-14,1.2373,1.1982,0.9119,6.2013,6.5409,0.8764,0.6339,7.7504,119.17,7.3641,1.3337,8.2322,1.3197
2015-05-15,1.2431,1.2013,0.9154,6.2062,6.5197,0.8734,0.6358,7.7504,119.24,7.2906,1.3372,8.1868,1.32
2015-05-18,1.2513,1.216,0.9262,6.2037,6.594,0.8837,0.6388,7.7505,119.98,7.4003,1.3532,8.2311,1.3283
2015-05-19,1.2634,1.2232,0.9367,6.2068,6.689,0.8969,0.6447,7.7515,120.69,7.5159,1.3613,8.3343,1.3356
2015-05-20,1.2697,1.2208,0.9369,6.2032,6.7235,0.9014,0.6437,7.752,121.34,7.564,1.3683,8.3435,1.3364
2015-05-21,1.2664,1.2198,0.9367,6.1964,6.7087,0.8999,0.6385,7.753,121.03,7.5554,1.3609,8.3308,1.3358
2015-05-22,1.276,1.2278,0.9417,6.197,6.7706,0.908,0.6452,7.7509,121.54,7.6402,1.3652,8.3745,1.3358
2015-05-25,1.2778,1.2313,0.9448,6.2019,6.7923,0.9109,0.6463,7.7514,121.55,7.6345,1.3676,8.4125,1.3417
2015-05-26,1.2927,1.2434,0.9532,6.2036,6.8541,0.9198,0.65,7.7518,123.09,7.7518,1.3831,8.4705,1.3497
2015-05-27,1.2937,1.2451,0.9493,6.2011,6.8392,0.9171,0.6512,7.7582,123.65,7.7621,1.3761,8.5016,1.3505
2015-05-28,1.307,1.2435,0.9436,6.2006,6.8128,0.9133,0.6529,7.753,123.95,7.7998,1.393,8.4622,1.3482
2015-05-29,1.3071,1.2453,0.9394,6.1972,6.7892,0.9097,0.6538,7.7521,124.14,7.7545,1.4054,8.504,1.347
2015-06-01,1.3144,1.2521,0.9458,6.1991,6.8254,0.9151,0.6578,7.7555,124.77,7.9519,1.4108,8.5704,1.356
2015-06-02,1.2865,1.2401,0.9328,6.1981,6.6906,0.8967,0.6517,7.7556,124.11,7.8276,1.3923,8.4363,1.3485
2015-06-03,1.2842,1.2451,0.9336,6.1969,6.6163,0.8869,0.6518,7.7529,124.24,7.7248,1.3976,8.2967,1.3425
2015-06-04,1.3004,1.2502,0.9335,6.1995,6.6384,0.8898,0.6508,7.7515,124.36,7.7494,1.4025,8.2715,1.3471
2015-06-05,1.311,1.2442,0.9391,6.2021,6.7123,0.8997,0.6549,7.7515,125.62,7.9433,1.4181,8.376,1.3572
2015-06-08,1.2981,1.241,0.9274,6.2056,6.6052,0.8856,0.6515,7.7516,124.48,7.8095,1.3993,8.2931,1.353
2015-06-09,1.3001,1.2336,0.9307,6.2051,6.612,0.8864,0.6499,7.7532,124.34,7.7742,1.4017,8.2854,1.3513
2015-06-10,1.2879,1.2254,0.9312,6.2056,6.5897,0.883,0.6439,7.7522,122.67,7.758,1.3881,8.2585,1.3413
2015-06-11,1.2894,1.2291,0.9329,6.2065,6.6255,0.8882,0.6445,7.7522,123.41,7.8342,1.4257,8.2032,1.3444
2015-06-12,1.2925,1.2321,0.9279,6.2081,6.6202,0.8872,0.6426,7.7523,123.38,7.6954,1.4301,8.1676,1.3435
2015-06-15,1.2876,1.2324,0.9292,6.2086,6.6104,0.8862,0.6409,7.7528,123.41,7.7476,1.4284,8.1532,1.346
2015-06-16,1.2897,1.2294,0.932,6.2084,6.6311,0.889,0.639,7.7519,123.35,7.7552,1.4305,8.1702,1.3419
2015-06-17,1.2902,1.2227,0.9217,6.2094,6.5779,0.882,0.6316,7.7521,123.42,7.6537,1.4306,8.1072,1.3356
2015-06-18,1.2819,1.2222,0.9214,6.2079,6.569,0.8802,0.6297,7.7521,122.96,7.7907,1.4436,8.1275,1.3339
2015-06-19,1.286,1.2264,0.9162,6.2092,6.5723,0.8808,0.6295,7.7511,122.7,7.7038,1.4461,8.1103,1.3336
2015-06-22,1.2939,1.2308,0.9213,6.2092,6.5795,0.8817,0.6319,7.7511,123.36,7.7347,1.4567,8.1432,1.3348
2015-06-23,1.2924,1.2326,0.9337,6.2065,6.6815,0.8954,0.6357,7.7522,123.94,7.8169,1.4588,8.2547,1.3402
2015-06-24,1.2978,1.2382,0.9335,6.2071,6.6573,0.8924,0.6366,7.752,123.84,7.8415,1.4511,8.2327,1.3429
2015-06-25,1.2921,1.2327,0.9363,6.2091,6.6576,0.8924,0.6351,7.7525,123.62,7.7991,1.4474,8.2416,1.3436
2015-06-26,1.3058,1.2319,0.9315,6.2091,6.6809,0.895,0.6349,7.7513,123.85,7.8093,1.4593,8.2861,1.3494
2015-06-29,1.3021,1.2403,0.9249,6.2083,6.6401,0.89,0.6354,7.7521,122.54,7.8551,1.4595,8.2226,1.3457
2015-06-30,1.2971,1.2494,0.9352,6.2007,6.6926,0.8977,0.6366,7.7512,122.49,7.8404,1.478,8.2824,1.3469
2015-07-01,1.3078,1.2589,0.9482,6.2012,6.7497,0.9047,0.6403,7.7523,123.17,7.9278,1.4845,8.3779,1.3523
2015-07-02,1.3101,1.2539,0.9434,6.2035,6.7271,0.9022,0.6406,7.7513,123.06,7.9565,1.4875,8.4548,1.3476
2015-07-03,1.3277,1.2572,0.9393,6.2045,6.713,0.9004,0.6422,7.7516,122.78,7.9675,1.4913,8.444,1.3453
2015-07-06,1.3332,1.2651,0.9423,6.2091,6.75,0.9044,0.6408,7.7531,122.57,8.0673,1.4951,8.4552,1.3482
2015-07-07,1.3417,1.2705,0.9463,6.2097,6.7777,0.9081,0.6467,7.7545,122.53,8.1525,1.5033,8.506,1.3537
2015-07-08,1.3458,1.2746,0.9449,6.2089,6.7364,0.9028,0.6509,7.752,120.7,8.2123,1.4857,8.4599,1.3498
2015-07-09,1.3426,1.2706,0.9476,6.2086,6.7621,0.906,0.6501,7.7517,121.33,8.1342,1.4833,8.4847,1.3495
2015-07-10,1.3409,1.2657,0.9362,6.2092,6.6852,0.8959,0.6444,7.7504,122.77,7.9461,1.4859,8.4158,1.3507
2015-07-13,1.3501,1.2741,0.9501,6.2083,6.7822,0.9089,0.6457,7.7516,123.42,8.0721,1.4934,8.4849,1.3565
2015-07-14,1.3417,1.2727,0.9446,6.2089,6.778,0.9083,0.6395,7.7511,123.39,8.0964,1.4894,8.493,1.3605
2015-07-15,1.3551,1.2913,0.9518,6.2091,6.8144,0.9132,0.6393,7.7508,123.76,8.1447,1.5172,8.5022,1.365
2015-07-16,1.3503,1.2957,0.9576,6.2095,6.8602,0.9195,0.6406,7.7511,124.14,8.1542,1.5345,8.5459,1.3665
2015-07-17,1.3557,1.2971,0.961,6.2094,6.8893,0.9234,0.6408,7.7498,124.08,8.1622,1.5319,8.6425,1.3663
2015-07-20,1.3562,1.2993,0.9645,6.2097,6.8916,0.9238,0.6424,7.7505,124.26,8.2253,1.5227,8.6143,1.3701
2015-07-21,1.3477,1.2948,0.9581,6.2094,6.8243,0.9142,0.6428,7.7508,123.88,8.1028,1.5092,8.5441,1.3634
2015-07-22,1.3552,1.3033,0.9598,6.2093,6.8276,0.915,0.6404,7.7502,123.96,8.1118,1.5195,8.5916,1.3654
2015-07-23,1.3592,1.3036,0.9598,6.2095,6.7927,0.9105,0.6446,7.7512,123.92,8.1715,1.5133,8.565,1.3685
2015-07-24,1.3727,1.3048,0.9622,6.2094,6.7926,0.9104,0.6448,7.7504,123.81,8.1968,1.5193,8.5745,1.3712
2015-07-27,1.3755,1.3038,0.9625,6.2096,6.7292,0.9018,0.6427,7.7512,123.24,8.1621,1.514,8.5045,1.3686
2015-07-28,1.3628,1.2921,0.9622,6.2094,6.7465,0.9041,0.6405,7.751,123.56,8.1438,1.4937,8.5604,1.3633
2015-07-29,1.3705,1.2945,0.9676,6.209,6.7926,0.9103,0.6408,7.7516,123.93,8.1482,1.4999,8.6356,1.3686
2015-07-30,1.3711,1.3,0.969,6.2096,6.8247,0.9147,0.641,7.7536,124.14,8.1679,1.5144,8.6199,1.3751
2015-07-31,1.3673,1.309,0.9645,6.2096,6.7936,0.9104,0.6401,7.7524,123.89,8.1546,1.5168,8.62,1.3717
2015-08-03,1.3725,1.3155,0.969,6.2096,6.8141,0.9131,0.6416,7.753,124.03,8.2494,1.5233,8.6458,1.3778
2015-08-04,1.355,1.3193,0.9782,6.2096,6.8568,0.9189,0.6425,7.7537,124.38,8.2795,1.5293,8.7078,1.3807
2015-08-05,1.3594,1.3177,0.9789,6.2096,6.8421,0.9169,0.6409,7.7515,124.86,8.2502,1.535,8.6954,1.3836
2015-08-06,1.3608,1.3108,0.9807,6.2096,6.8296,0.9153,0.6446,7.751,124.73,8.2664,1.5258,8.74,1.3835
2015-08-07,1.3477,1.3128,0.9825,6.2096,6.8045,0.9118,0.6454,7.7515,124.24,8.2531,1.509,8.7559,1.3829
2015-08-10,1.3488,1.3001,0.9836,6.2096,6.7721,0.9075,0.6413,7.7524,124.62,8.1896,1.51,8.6876,1.3804
2015-08-11,1.3688,1.3114,0.9879,6.3235,6.7586,0.9056,0.6422,7.7611,125.12,8.2667,1.5299,8.6546,1.401
2015-08-12,1.3549,1.2976,0.9753,6.3837,6.6881,0.896,0.6405,7.7565,124.21,8.1398,1.5103,8.5855,1.3983
2015-08-13,1.3582,1.306,0.9763,6.398,6.6946,0.8967,0.6406,7.7556,124.43,8.2103,1.5216,8.472,1.3965
2015-08-14,1.3531,1.3087,0.9752,6.3905,6.7183,0.9002,0.6392,7.7549,124.31,8.1476,1.5269,8.4987,1.4058
2015-08-17,1.3563,1.3078,0.9786,6.3946,6.7374,0.9027,0.6416,7.7547,124.38,8.2027,1.5213,8.5245,1.4074
2015-08-18,1.362,1.3058,0.977,6.3936,6.7714,0.907,0.6386,7.7545,124.4,8.2792,1.5146,8.5486,1.4034
2015-08-19,1.3605,1.3128,0.9653,6.3946,6.7103,0.8992,0.6377,7.7533,123.79,8.2572,1.5143,8.516,1.4029
