date,value
2020-01-02,0.8
2020-01-01,0.8
2019-12-31,0.8
2019-12-30,0.7
2019-12-27,0.8
2019-12-26,0.8
2019-12-25,0.8
2019-12-24,0.8
2019-12-23,0.8
2019-12-20,0.68
2019-12-19,0.8
2019-12-18,0.8
2019-12-17,0.8
2019-12-16,0.8
2019-12-13,0.8
2019-12-12,0.8
2019-12-11,0.8
2019-12-10,0.8
2019-12-09,0.8
2019-12-06,0.8
2019-12-05,0.8
2019-12-04,0.75
2019-12-03,0.75
2019-12-02,0.8
2019-11-29,0.75
2019-11-28,0.75
2019-11-27,0.75
2019-11-26,0.75
2019-11-25,0.75
2019-11-22,0.75
2019-11-21,0.75
2019-11-20,0.75
2019-11-19,0.75
2019-11-18,0.8
2019-11-15,0.83
2019-11-14,0.8
2019-11-13,0.89
2019-11-12,0.8
2019-11-11,0.8
2019-11-08,0.8
2019-11-07,0.8
2019-11-06,0.83
2019-11-05,0.66
2019-11-04,0.65
2019-11-01,0.7
2019-10-31,0.7
2019-10-30,0.7
2019-10-29,0.7
2019-10-28,0.785
2019-10-25,0.7
2019-10-24,0.8
2019-10-23,0.8
2019-10-22,0.8
2019-10-21,0.8
2019-10-18,0.75
2019-10-17,1.245
2019-10-16,0.75
2019-10-15,0.75
2019-10-14,0.75
2019-10-11,0.75
2019-10-10,0.75
2019-10-09,0.75
2019-10-08,0.75
2019-10-07,0.745
2019-10-04,0.65
2019-10-03,0.6
2019-10-02,0.45
2019-10-01,0.02
2019-09-30,0.6
2019-09-27,0.65
2019-09-26,0.525
2019-09-25,0.525
2019-09-24,0.675
2019-09-23,0.64
2019-09-20,0.625
2019-09-19,0.675
2019-09-18,0.825
2019-09-17,0.4
2019-09-16,0.875
2019-09-13,0.785
2019-09-12,0.875
2019-09-11,0.875
2019-09-10,0.575
2019-09-09,0.575
2019-09-06,0.875
2019-09-05,0.975
2019-09-04,1.025
2019-09-03,1.025
2019-09-02,1.025
2019-08-30,1.025
2019-08-29,1.025
2019-08-28,1.025
2019-08-27,1.025
2019-08-26,1.025
2019-08-23,1.075
2019-08-22,0.845
2019-08-21,1.075
2019-08-20,1.075
2019-08-19,1.075
2019-08-16,1.075
2019-08-15,1.075
2019-08-14,1.075
2019-08-13,1.025
2019-08-12,1.025
2019-08-09,1.075
2019-08-08,1.045
2019-08-07,1.075
2019-08-06,1.3
2019-08-05,1.1
2019-08-02,1.25
2019-08-01,0.8
2019-07-31,0.13
2019-07-30,0.725
2019-07-29,1.075
2019-07-26,1.075
2019-07-25,1.075
2019-07-24,1.075
2019-07-23,0.71
2019-07-22,1.075
2019-07-19,1.075
2019-07-18,0.74
2019-07-17,1.075
2019-07-16,1.075
2019-07-15,1.075
2019-07-12,1.075
2019-07-11,1.0
2019-07-10,1.075
2019-07-09,1.075
2019-07-08,1.075
2019-07-05,1.075
2019-07-04,1.075
2019-07-03,1.075
2019-07-02,1.075
2019-07-01,1.275
2019-06-28,1.275
2019-06-27,1.25
2019-06-26,1.35
2019-06-25,1.35
2019-06-24,1.35
2019-06-21,1.35
2019-06-20,1.35
2019-06-19,1.35
2019-06-18,1.35
2019-06-17,1.35
2019-06-14,1.25
2019-06-13,1.11
2019-06-12,1.45
2019-06-11,1.5
2019-06-10,1.205
2019-06-07,1.26
2019-06-06,1.45
2019-06-05,1.4
2019-06-04,1.4
2019-06-03,1.015
2019-05-31,1.4
2019-05-30,1.4
2019-05-29,1.55
2019-05-28,1.45
2019-05-27,1.6
2019-05-24,1.6
2019-05-23,1.6
2019-05-22,1.36
2019-05-21,1.65
2019-05-20,1.65
2019-05-17,1.65
2019-05-16,1.425
2019-05-15,1.65
2019-05-14,1.65
2019-05-13,1.65
2019-05-10,1.65
2019-05-09,1.65
2019-05-08,1.65
2019-05-07,1.6
2019-05-06,1.6
2019-05-03,1.6
2019-05-02,1.65
2019-05-01,1.65
2019-04-30,1.65
2019-04-29,1.65
2019-04-26,1.75
2019-04-25,1.8
2019-04-24,1.8
2019-04-23,1.8
2019-04-22,1.755
2019-04-19,1.8
2019-04-18,1.8
2019-04-17,1.75
2019-04-16,1.75
2019-04-15,1.7
2019-04-12,1.7
2019-04-11,1.7
2019-04-10,1.65
2019-04-09,1.65
2019-04-08,1.65
2019-04-05,1.7
2019-04-04,1.65
2019-04-03,1.65
2019-04-02,1.65
2019-04-01,1.65
2019-03-29,1.47
2019-03-28,1.7
2019-03-27,1.36
2019-03-26,1.75
2019-03-25,1.75
2019-03-22,1.75
2019-03-21,1.85
2019-03-20,1.85
2019-03-19,1.95
2019-03-18,1.9
2019-03-15,1.85
2019-03-14,1.7
2019-03-13,1.7
2019-03-12,1.7
2019-03-11,1.7
2019-03-08,1.7
2019-03-07,1.7
2019-03-06,1.755
2019-03-05,1.085
2019-03-04,1.44
2019-03-01,1.7
2019-02-28,1.7
2019-02-27,1.7
2019-02-26,1.65
2019-02-25,1.37
2019-02-22,1.65
2019-02-21,1.8
2019-02-20,1.85
2019-02-19,1.9
2019-02-18,1.95
2019-02-15,2.0
2019-02-14,1.9
2019-02-13,1.85
2019-02-12,1.8
2019-02-11,1.8
2019-02-08,1.85
2019-02-07,1.95
2019-02-06,1.95
2019-02-05,1.95
2019-02-04,2.0
2019-02-01,2.0
2019-01-31,2.0
2019-01-30,1.95
2019-01-29,1.95
2019-01-28,1.75
2019-01-25,1.75
2019-01-24,1.75
2019-01-23,1.8
2019-01-22,1.61
2019-01-21,2.05
2019-01-18,2.05
