date,value
2019-12-31,-0.659249
2019-12-30,-0.684825
2019-12-27,-0.698503
2019-12-24,-0.684586
2019-12-23,-0.701235
2019-12-20,-0.70587
2019-12-19,-0.704521
2019-12-18,-0.705583
2019-12-17,-0.705345
2019-12-16,-0.704199
2019-12-13,-0.703784
2019-12-12,-0.7058
2019-12-11,-0.705172
2019-12-10,-0.705512
2019-12-09,-0.706353
2019-12-06,-0.704737
2019-12-05,-0.703716
2019-12-04,-0.703749
2019-12-03,-0.703643
2019-12-02,-0.705517
2019-11-29,-0.706504
2019-11-28,-0.709256
2019-11-27,-0.710607
2019-11-26,-0.709801
2019-11-25,-0.705693
2019-11-22,-0.703757
2019-11-21,-0.700298
2019-11-20,-0.699736
2019-11-19,-0.69865
2019-11-18,-0.693477
2019-11-15,-0.693456
2019-11-14,-0.686273
2019-11-13,-0.681105
2019-11-12,-0.675285
2019-11-11,-0.67436
2019-11-08,-0.66878
2019-11-07,-0.66349
2019-11-06,-0.659506
2019-11-05,-0.656182
2019-11-04,-0.62762
2019-11-01,-0.639171
2019-10-31,-0.732974
2019-10-30,-0.737164
2019-10-29,-0.734425
2019-10-28,-0.736533
2019-10-25,-0.735077
2019-10-24,-0.73927
2019-10-23,-0.739178
2019-10-22,-0.738701
2019-10-21,-0.737488
2019-10-18,-0.737191
2019-10-17,-0.736523
2019-10-16,-0.739809
2019-10-15,-0.736896
2019-10-14,-0.736823
2019-10-11,-0.737592
2019-10-10,-0.741872
2019-10-09,-0.739089
2019-10-08,-0.740681
2019-10-07,-0.736762
2019-10-04,-0.737043
2019-10-03,-0.735619
2019-10-02,-0.732149
2019-10-01,-0.736161
2019-09-30,-0.746272
2019-09-27,-0.736696
2019-09-26,-0.737985
2019-09-25,-0.736994
2019-09-24,-0.736325
2019-09-23,-0.737274
2019-09-20,-0.741618
2019-09-19,-0.737288
2019-09-18,-0.734803
2019-09-17,-0.731764
2019-09-16,-0.732444
2019-09-13,-0.738549
2019-09-12,-0.733291
2019-09-11,-0.730952
2019-09-10,-0.732953
2019-09-09,-0.730256
2019-09-06,-0.730802
2019-09-05,-0.731783
2019-09-04,-0.731119
2019-09-03,-0.733989
2019-09-02,-0.731834
2019-08-30,-0.747262
2019-08-29,-0.733332
2019-08-28,-0.734893
2019-08-27,-0.735212
2019-08-26,-0.736682
2019-08-23,-0.739591
2019-08-22,-0.739641
2019-08-21,-0.741722
2019-08-20,-0.750786
2019-08-19,-0.743756
2019-08-16,-0.745262
2019-08-15,-0.73879
2019-08-14,-0.738333
2019-08-13,-0.739544
2019-08-12,-0.749718
2019-08-09,-0.74827
2019-08-08,-0.743454
2019-08-07,-0.739801
2019-08-06,-0.742523
2019-08-05,-0.741705
2019-08-02,-0.749782
2019-07-31,-0.745119
2019-07-30,-0.743485
2019-07-29,-0.739061
2019-07-26,-0.736956
2019-07-25,-0.736864
2019-07-24,-0.737851
2019-07-23,-0.737296
2019-07-22,-0.73747
2019-07-19,-0.738781
2019-07-18,-0.736741
2019-07-17,-0.740761
2019-07-16,-0.73722
2019-07-15,-0.738612
2019-07-12,-0.738647
2019-07-11,-0.735743
2019-07-10,-0.735531
2019-07-09,-0.738223
2019-07-08,-0.741417
2019-07-05,-0.734868
2019-07-04,-0.735941
2019-07-03,-0.736154
2019-07-02,-0.734429
2019-07-01,-0.73543
2019-06-28,-0.740234
2019-06-27,-0.741744
2019-06-26,-0.737655
2019-06-25,-0.735569
2019-06-24,-0.739524
2019-06-21,-0.737211
2019-06-20,-0.73633
2019-06-19,-0.735509
2019-06-18,-0.735206
2019-06-17,-0.738725
2019-06-14,-0.735308
2019-06-13,-0.737152
2019-06-12,-0.737372
2019-06-11,-0.735264
2019-06-07,-0.725206
2019-06-06,-0.736802
2019-06-05,-0.735753
2019-06-04,-0.734128
2019-06-03,-0.734138
2019-05-31,-0.736873
2019-05-29,-0.740087
2019-05-28,-0.736557
2019-05-27,-0.731043
2019-05-24,-0.732812
2019-05-23,-0.735389
2019-05-22,-0.736194
2019-05-21,-0.733071
2019-05-20,-0.738135
2019-05-17,-0.740888
2019-05-16,-0.742531
2019-05-15,-0.744801
2019-05-14,-0.740209
2019-05-13,-0.738074
2019-05-10,-0.74003
2019-05-09,-0.735701
2019-05-08,-0.735332
2019-05-07,-0.735542
2019-05-06,-0.734302
2019-05-03,-0.730783
2019-05-02,-0.73464
2019-04-30,-0.731729
2019-04-29,-0.734356
2019-04-26,-0.734137
2019-04-25,-0.73131
2019-04-24,-0.735731
2019-04-23,-0.733425
2019-04-18,-0.735999
2019-04-17,-0.735363
2019-04-16,-0.734691
2019-04-15,-0.733035
2019-04-12,-0.735572
2019-04-11,-0.736909
2019-04-10,-0.736467
2019-04-09,-0.737907
2019-04-08,-0.735727
2019-04-05,-0.736001
2019-04-04,-0.74015
2019-04-03,-0.738421
2019-04-02,-0.737382
2019-04-01,-0.734832
2019-03-29,-0.737656
2019-03-28,-0.733012
2019-03-27,-0.734988
2019-03-26,-0.733824
2019-03-25,-0.732552
2019-03-22,-0.73386
2019-03-21,-0.733626
2019-03-20,-0.731404
2019-03-19,-0.733715
2019-03-18,-0.734146
2019-03-15,-0.733003
2019-03-14,-0.730737
2019-03-13,-0.729698
2019-03-12,-0.732268
2019-03-11,-0.733639
2019-03-08,-0.734443
2019-03-07,-0.733498
2019-03-06,-0.733227
2019-03-05,-0.735959
2019-03-04,-0.733255
2019-03-01,-0.735482
2019-02-28,-0.738785
2019-02-27,-0.736827
2019-02-26,-0.735902
2019-02-25,-0.735995
2019-02-22,-0.734633
2019-02-21,-0.733443
2019-02-20,-0.733436
2019-02-19,-0.734521
2019-02-18,-0.733042
2019-02-15,-0.734279
2019-02-14,-0.732915
2019-02-13,-0.732795
2019-02-12,-0.731667
2019-02-11,-0.735249
2019-02-08,-0.735304
2019-02-07,-0.73413
2019-02-06,-0.733957
2019-02-05,-0.733836
2019-02-04,-0.73297
2019-02-01,-0.73206
2019-01-31,-0.731819
2019-01-30,-0.733419
2019-01-29,-0.731855
2019-01-28,-0.734246
2019-01-25,-0.73543
2019-01-24,-0.732728
2019-01-23,-0.731809
2019-01-22,-0.730267
2019-01-21,-0.732942
2019-01-18,-0.734305
2019-01-17,-0.73271
2019-01-16,-0.734774
2019-01-15,-0.73173
2019-01-14,-0.732367
2019-01-11,-0.732562
2019-01-10,-0.7322
2019-01-09,-0.731742
2019-01-08,-0.729432
2019-01-07,-0.731931
2019-01-04,-0.733477
2019-01-03,-0.734071
2018-12-31,-0.730971
2018-12-28,-0.729594
2018-12-27,-0.732507
2018-12-24,-0.732634
2018-12-21,-0.741122
2018-12-20,-0.736047
2018-12-19,-0.731283
2018-12-18,-0.732534
2018-12-17,-0.731727
2018-12-14,-0.736595
2018-12-13,-0.733311
2018-12-12,-0.735538
2018-12-11,-0.735459
2018-12-10,-0.733021
2018-12-07,-0.734849
2018-12-06,-0.732739
2018-12-05,-0.734476
2018-12-04,-0.731528
2018-12-03,-0.731912
2018-11-30,-0.732697
2018-11-29,-0.735993
2018-11-28,-0.734664
2018-11-27,-0.735427
2018-11-26,-0.737191
2018-11-23,-0.744572
2018-11-22,-0.733914
2018-11-21,-0.734169
2018-11-20,-0.732395
2018-11-19,-0.73172
2018-11-16,-0.732656
2018-11-15,-0.733295
2018-11-14,-0.734235
2018-11-13,-0.739543
2018-11-12,-0.734034
2018-11-09,-0.736522
2018-11-08,-0.736787
2018-11-07,-0.738706
2018-11-06,-0.737208
2018-11-05,-0.735557
2018-11-02,-0.74009
2018-11-01,-0.736935
2018-10-31,-0.73731
2018-10-30,-0.736683
2018-10-29,-0.739604
2018-10-26,-0.739251
2018-10-25,-0.738279
2018-10-24,-0.736718
2018-10-23,-0.734998
2018-10-22,-0.733227
2018-10-19,-0.735884
2018-10-18,-0.73467
2018-10-17,-0.734519
2018-10-16,-0.736678
2018-10-15,-0.73756
2018-10-12,-0.738586
2018-10-11,-0.740353
2018-10-10,-0.750351
2018-10-09,-0.741427
2018-10-08,-0.739701
2018-10-05,-0.746194
2018-10-04,-0.742927
2018-10-03,-0.743903
2018-10-02,-0.734949
2018-10-01,-0.738704
2018-09-28,-0.785767
2018-09-27,-0.753971
2018-09-26,-0.760342
2018-09-25,-0.74504
2018-09-24,-0.736047
2018-09-21,-0.743656
2018-09-20,-0.740611
2018-09-19,-0.741015
2018-09-18,-0.739414
2018-09-17,-0.732281
2018-09-14,-0.734535
2018-09-13,-0.739139
2018-09-12,-0.744533
2018-09-11,-0.742549
2018-09-10,-0.73405
2018-09-07,-0.737137
2018-09-06,-0.739773
2018-09-05,-0.735083
2018-09-04,-0.732757
2018-09-03,-0.731445
2018-08-31,-0.731997
2018-08-30,-0.731147
2018-08-29,-0.732601
2018-08-28,-0.733789
2018-08-27,-0.733759
2018-08-24,-0.736191
2018-08-23,-0.733202
2018-08-22,-0.733216
2018-08-21,-0.7329
2018-08-20,-0.732658
2018-08-17,-0.732635
2018-08-16,-0.733965
2018-08-15,-0.733389
2018-08-14,-0.734605
2018-08-13,-0.733876
2018-08-10,-0.735372
2018-08-09,-0.735247
2018-08-08,-0.736737
2018-08-07,-0.733972
2018-08-06,-0.73298
2018-08-03,-0.733802
2018-08-02,-0.728306
2018-07-31,-0.730823
2018-07-30,-0.733983
2018-07-27,-0.737802
2018-07-26,-0.737156
2018-07-25,-0.735439
2018-07-24,-0.7361
2018-07-23,-0.731057
2018-07-20,-0.732854
2018-07-19,-0.73075
2018-07-18,-0.732329
2018-07-17,-0.730767
2018-07-16,-0.730215
2018-07-13,-0.731578
2018-07-12,-0.732229
2018-07-11,-0.732064
2018-07-10,-0.73396
2018-07-09,-0.734878
2018-07-06,-0.733075
2018-07-05,-0.73377
2018-07-04,-0.729291
2018-07-03,-0.73213
2018-07-02,-0.731781
2018-06-29,-0.730086
2018-06-28,-0.733042
2018-06-27,-0.733145
2018-06-26,-0.732633
2018-06-25,-0.735007
2018-06-22,-0.731766
2018-06-21,-0.729056
2018-06-20,-0.73252
2018-06-19,-0.731713
2018-06-18,-0.732571
2018-06-15,-0.730651
2018-06-14,-0.732682
2018-06-13,-0.730912
2018-06-12,-0.729587
2018-06-11,-0.731226
2018-06-08,-0.73216
2018-06-07,-0.73173
2018-06-06,-0.730888
2018-06-05,-0.73034
2018-06-04,-0.733107
2018-06-01,-0.732519
2018-05-31,-0.728226
2018-05-30,-0.732426
2018-05-29,-0.733745
2018-05-28,-0.729931
2018-05-25,-0.734058
2018-05-24,-0.73123
2018-05-23,-0.7294
2018-05-22,-0.729918
2018-05-18,-0.734092
2018-05-17,-0.731274
2018-05-16,-0.73046
2018-05-15,-0.733585
2018-05-14,-0.732863
2018-05-11,-0.7319
2018-05-09,-0.733262
2018-05-08,-0.736958
2018-05-07,-0.732825
2018-05-04,-0.73162
2018-05-03,-0.733814
2018-05-02,-0.734369
2018-04-30,-0.729806
2018-04-27,-0.736253
2018-04-26,-0.740471
2018-04-25,-0.742764
2018-04-24,-0.739449
2018-04-23,-0.737749
2018-04-20,-0.732614
2018-04-19,-0.735612
2018-04-18,-0.730292
2018-04-17,-0.736385
2018-04-16,-0.7373
2018-04-13,-0.735738
2018-04-12,-0.737345
2018-04-11,-0.7352
2018-04-10,-0.736171
2018-04-09,-0.732882
2018-04-06,-0.738002
2018-04-05,-0.741581
2018-04-04,-0.730435
2018-04-03,-0.737314
2018-03-29,-0.73834
2018-03-28,-0.745677
2018-03-27,-0.734514
2018-03-26,-0.735744
2018-03-23,-0.735268
2018-03-22,-0.739322
2018-03-21,-0.741787
2018-03-20,-0.739104
2018-03-19,-0.739682
2018-03-16,-0.739932
2018-03-15,-0.739601
2018-03-14,-0.742452
2018-03-13,-0.740329
2018-03-12,-0.739256
2018-03-09,-0.740124
2018-03-08,-0.739264
2018-03-07,-0.742532
2018-03-06,-0.739449
2018-03-05,-0.749496
2018-03-02,-0.763102
2018-03-01,-0.753719
2018-02-28,-0.759249
2018-02-27,-0.746941
2018-02-26,-0.755099
2018-02-23,-0.743827
2018-02-22,-0.76718
2018-02-21,-0.744891
2018-02-20,-0.742794
2018-02-19,-0.753155
2018-02-16,-0.738895
2018-02-15,-0.743208
2018-02-14,-0.738409
2018-02-13,-0.735801
2018-02-12,-0.746157
2018-02-09,-0.745371
2018-02-08,-0.735423
2018-02-07,-0.738448
2018-02-06,-0.75233
2018-02-05,-0.740456
2018-02-02,-0.735284
2018-02-01,-0.74202
2018-01-31,-0.740278
2018-01-30,-0.738819
2018-01-29,-0.745265
2018-01-26,-0.74319
2018-01-25,-0.743815
2018-01-24,-0.7414
2018-01-23,-0.742548
2018-01-22,-0.739031
2018-01-19,-0.743043
2018-01-18,-0.737662
2018-01-17,-0.739018
2018-01-16,-0.735205
2018-01-15,-0.734879
2018-01-12,-0.738003
2018-01-11,-0.73821
2018-01-10,-0.73799
2018-01-09,-0.740822
2018-01-08,-0.740446
2018-01-05,-0.738339
2018-01-04,-0.734669
2018-01-03,-0.735955
2017-12-29,-0.746149
2017-12-28,-0.741234
2017-12-27,-0.750325
2017-12-22,-0.764453
2017-12-21,-0.739025
2017-12-20,-0.741762
2017-12-19,-0.736897
2017-12-18,-0.742083
2017-12-15,-0.738411
2017-12-14,-0.73319
2017-12-13,-0.734338
2017-12-12,-0.732706
2017-12-11,-0.732557
2017-12-08,-0.739035
2017-12-07,-0.739611
2017-12-06,-0.737928
2017-12-05,-0.735068
2017-12-04,-0.740016
2017-12-01,-0.741986
2017-11-30,-0.736376
2017-11-29,-0.742727
2017-11-28,-0.739676
2017-11-27,-0.739622
2017-11-24,-0.743261
2017-11-23,-0.743001
2017-11-22,-0.737694
2017-11-21,-0.736134
2017-11-20,-0.737282
2017-11-17,-0.736549
2017-11-16,-0.737805
2017-11-15,-0.739
2017-11-14,-0.741118
2017-11-13,-0.736572
2017-11-10,-0.737996
2017-11-09,-0.738652
2017-11-08,-0.746488
2017-11-07,-0.739721
2017-11-06,-0.737685
2017-11-03,-0.73902
2017-11-02,-0.739351
2017-11-01,-0.743376
2017-10-31,-0.737404
2017-10-30,-0.73806
2017-10-27,-0.740635
2017-10-26,-0.734317
2017-10-25,-0.731024
2017-10-24,-0.732118
2017-10-23,-0.733173
2017-10-20,-0.735489
2017-10-19,-0.737387
2017-10-18,-0.736474
2017-10-17,-0.736846
2017-10-16,-0.738431
2017-10-13,-0.738235
2017-10-12,-0.736572
2017-10-11,-0.737567
2017-10-10,-0.740922
2017-10-09,-0.738045
2017-10-06,-0.744177
2017-10-05,-0.740559
2017-10-04,-0.740672
2017-10-03,-0.73783
2017-10-02,-0.742863
2017-09-29,-0.742996
2017-09-28,-0.736473
2017-09-27,-0.737479
2017-09-26,-0.73924
2017-09-25,-0.738988
2017-09-22,-0.73587
2017-09-21,-0.739581
2017-09-20,-0.753093
2017-09-19,-0.738793
2017-09-18,-0.736238
2017-09-15,-0.738642
2017-09-14,-0.744203
2017-09-13,-0.740538
2017-09-12,-0.742867
2017-09-11,-0.740165
2017-09-08,-0.74073
2017-09-07,-0.738849
2017-09-06,-0.744854
2017-09-05,-0.744213
2017-09-04,-0.747639
2017-09-01,-0.745761
2017-08-31,-0.732305
2017-08-30,-0.742505
2017-08-29,-0.741348
2017-08-28,-0.746593
2017-08-25,-0.743024
2017-08-24,-0.743271
2017-08-23,-0.736227
2017-08-22,-0.735277
2017-08-21,-0.743661
2017-08-18,-0.745461
2017-08-17,-0.736334
2017-08-16,-0.736284
2017-08-15,-0.742571
2017-08-14,-0.739104
2017-08-11,-0.742088
2017-08-10,-0.736682
2017-08-09,-0.73536
2017-08-08,-0.73604
2017-08-07,-0.733105
2017-08-04,-0.733813
2017-08-03,-0.733011
2017-08-02,-0.732643
2017-07-31,-0.732636
2017-07-28,-0.73868
2017-07-27,-0.739041
2017-07-26,-0.736574
2017-07-25,-0.738678
2017-07-24,-0.738495
2017-07-21,-0.740802
2017-07-20,-0.741668
2017-07-19,-0.739138
2017-07-18,-0.738098
2017-07-17,-0.74168
2017-07-14,-0.740496
2017-07-13,-0.737099
2017-07-12,-0.739842
2017-07-11,-0.740907
2017-07-10,-0.739066
2017-07-07,-0.738541
2017-07-06,-0.738968
2017-07-05,-0.737983
2017-07-04,-0.736438
2017-07-03,-0.738736
2017-06-30,-0.734155
2017-06-29,-0.734266
2017-06-28,-0.74024
2017-06-27,-0.738147
2017-06-26,-0.739526
2017-06-23,-0.731723
2017-06-22,-0.734885
2017-06-21,-0.736381
2017-06-20,-0.737381
2017-06-19,-0.733287
2017-06-16,-0.73423
2017-06-15,-0.735765
2017-06-14,-0.735835
2017-06-13,-0.737403
2017-06-12,-0.740222
2017-06-09,-0.739989
2017-06-08,-0.735349
2017-06-07,-0.740652
2017-06-06,-0.733416
2017-06-02,-0.732191
2017-06-01,-0.736935
2017-05-31,-0.734836
2017-05-30,-0.730064
2017-05-29,-0.737204
2017-05-26,-0.741188
2017-05-24,-0.745418
2017-05-23,-0.732239
2017-05-22,-0.732904
2017-05-19,-0.734181
2017-05-18,-0.735318
2017-05-17,-0.73429
2017-05-16,-0.736656
2017-05-15,-0.736798
2017-05-12,-0.735513
2017-05-11,-0.731791
2017-05-10,-0.740143
2017-05-09,-0.739678
2017-05-08,-0.739803
2017-05-05,-0.743209
2017-05-04,-0.740536
2017-05-03,-0.735228
2017-05-02,-0.733278
2017-04-28,-0.738899
2017-04-27,-0.732324
2017-04-26,-0.739483
2017-04-25,-0.739424
2017-04-24,-0.741096
2017-04-21,-0.746815
2017-04-20,-0.74571
2017-04-19,-0.739438
2017-04-18,-0.740035
2017-04-13,-0.736954
2017-04-12,-0.733402
2017-04-11,-0.733971
2017-04-10,-0.734875
2017-04-07,-0.737254
2017-04-06,-0.739652
2017-04-05,-0.736771
2017-04-04,-0.733965
2017-04-03,-0.738169
2017-03-31,-0.737014
2017-03-30,-0.734969
2017-03-29,-0.742156
2017-03-28,-0.737346
2017-03-27,-0.734279
2017-03-24,-0.736524
2017-03-23,-0.731857
2017-03-22,-0.734801
2017-03-21,-0.731241
2017-03-20,-0.740575
2017-03-17,-0.733307
2017-03-16,-0.732389
2017-03-15,-0.730693
2017-03-14,-0.730688
2017-03-13,-0.735574
2017-03-10,-0.738026
2017-03-09,-0.737281
2017-03-08,-0.738441
2017-03-07,-0.737669
2017-03-06,-0.734926
2017-03-03,-0.735867
2017-03-02,-0.732062
2017-03-01,-0.734138
2017-02-28,-0.72986
2017-02-27,-0.736078
2017-02-24,-0.737819
2017-02-23,-0.73791
2017-02-22,-0.739097
2017-02-21,-0.735269
2017-02-20,-0.739818
2017-02-17,-0.737113
2017-02-16,-0.737102
2017-02-15,-0.7356
2017-02-14,-0.739557
2017-02-13,-0.736559
2017-02-10,-0.733571
2017-02-09,-0.736669
2017-02-08,-0.734452
2017-02-07,-0.735783
2017-02-06,-0.736546
2017-02-03,-0.741266
2017-02-02,-0.736327
2017-02-01,-0.737202
2017-01-31,-0.732656
2017-01-30,-0.735858
2017-01-27,-0.736893
2017-01-26,-0.737318
2017-01-25,-0.738585
2017-01-24,-0.743469
2017-01-23,-0.73571
2017-01-20,-0.734027
2017-01-19,-0.730291
2017-01-18,-0.732999
2017-01-17,-0.736624
2017-01-16,-0.734525
2017-01-13,-0.73668
2017-01-12,-0.740026
2017-01-11,-0.735276
2017-01-10,-0.737801
2017-01-09,-0.739017
2017-01-06,-0.735494
2017-01-05,-0.738064
2017-01-04,-0.734146
2017-01-03,-0.740938
2016-12-30,-0.731921
2016-12-29,-0.736292
2016-12-28,-0.735499
2016-12-27,-0.741108
2016-12-23,-0.736531
2016-12-22,-0.738752
2016-12-21,-0.733432
2016-12-20,-0.734678
2016-12-19,-0.735596
2016-12-16,-0.736398
2016-12-15,-0.737918
2016-12-14,-0.733924
2016-12-13,-0.737156
2016-12-12,-0.734171
2016-12-09,-0.738587
2016-12-08,-0.726979
2016-12-07,-0.733081
2016-12-06,-0.735443
2016-12-05,-0.732456
2016-12-02,-0.722467
2016-12-01,-0.734961
2016-11-30,-0.728146
2016-11-29,-0.732175
2016-11-28,-0.738019
2016-11-25,-0.733979
2016-11-24,-0.732033
2016-11-23,-0.735128
2016-11-22,-0.733427
2016-11-21,-0.73302
2016-11-18,-0.733394
2016-11-17,-0.732743
2016-11-16,-0.733983
2016-11-15,-0.737191
2016-11-14,-0.736279
2016-11-11,-0.742816
2016-11-10,-0.737914
2016-11-09,-0.735979
2016-11-08,-0.738916
2016-11-07,-0.741578
2016-11-04,-0.740111
2016-11-03,-0.741218
2016-11-02,-0.738753
2016-11-01,-0.741296
2016-10-31,-0.729412
2016-10-28,-0.738843
2016-10-27,-0.736242
2016-10-26,-0.742497
2016-10-25,-0.741311
2016-10-24,-0.740894
2016-10-21,-0.734249
2016-10-20,-0.734711
2016-10-19,-0.734955
2016-10-18,-0.736625
2016-10-17,-0.740331
2016-10-14,-0.743012
2016-10-13,-0.74384
2016-10-12,-0.743315
2016-10-11,-0.740519
2016-10-10,-0.740595
2016-10-07,-0.738937
2016-10-06,-0.739644
2016-10-05,-0.736483
2016-10-04,-0.737165
2016-10-03,-0.735293
2016-09-30,-0.744965
2016-09-29,-0.733168
2016-09-28,-0.734206
2016-09-27,-0.737877
2016-09-26,-0.737696
2016-09-23,-0.737637
2016-09-22,-0.739178
2016-09-21,-0.732882
2016-09-20,-0.741118
2016-09-19,-0.735752
2016-09-16,-0.735047
2016-09-15,-0.737565
2016-09-14,-0.743534
2016-09-13,-0.747114
2016-09-12,-0.742744
2016-09-09,-0.742546
2016-09-08,-0.739581
2016-09-07,-0.736691
2016-09-06,-0.742861
2016-09-05,-0.737761
2016-09-02,-0.741118
2016-09-01,-0.745344
2016-08-31,-0.731087
2016-08-30,-0.73136
2016-08-29,-0.730721
2016-08-26,-0.739992
2016-08-25,-0.736062
2016-08-24,-0.735614
2016-08-23,-0.733865
2016-08-22,-0.737035
2016-08-19,-0.742505
2016-08-18,-0.740832
2016-08-17,-0.733686
2016-08-16,-0.739919
2016-08-15,-0.729947
