date,value
2020-01-02,1.4436
2019-12-31,1.694
2019-12-30,1.2
2019-12-27,1.075
2019-12-26,0.848
2019-12-25,0.943
2019-12-24,1.114
2019-12-23,1.557
2019-12-20,1.814
2019-12-19,2.0575
2019-12-18,2.485
2019-12-17,2.506
2019-12-16,2.437
2019-12-13,2.133
2019-12-12,2.053
2019-12-11,2.081
2019-12-10,2.198
2019-12-09,2.345
2019-12-06,2.073
2019-12-05,1.906
2019-12-04,1.971
2019-12-03,2.132
2019-12-02,2.233
2019-11-29,2.356
2019-11-28,2.078
2019-11-27,2.233
2019-11-26,2.323
2019-11-25,2.234
2019-11-22,1.948
2019-11-21,1.849
2019-11-20,1.899
2019-11-19,2.343
2019-11-18,2.707
2019-11-15,2.693
2019-11-14,2.666
2019-11-13,2.598
2019-11-12,2.376
2019-11-11,2.033
2019-11-08,1.902
2019-11-07,1.915
2019-11-06,1.788
2019-11-05,1.88
2019-11-04,2.075
2019-11-01,2.301
2019-10-31,2.59
2019-10-30,2.303
2019-10-29,2.368
2019-10-28,2.478
2019-10-25,2.506
2019-10-24,2.446
2019-10-23,2.654
2019-10-22,2.799
2019-10-21,2.682
2019-10-18,2.618
2019-10-17,2.585
2019-10-16,2.694
2019-10-15,2.703
2019-10-14,2.555
2019-10-12,2.215
2019-10-11,1.911
2019-10-10,2.016
2019-10-09,2.202
2019-10-08,2.627
2019-09-30,2.635
2019-09-29,1.249
2019-09-27,1.313
2019-09-26,1.637
2019-09-25,2.046
2019-09-24,2.369
2019-09-23,2.759
2019-09-20,2.746
2019-09-19,2.737
2019-09-18,2.633
2019-09-17,2.565
2019-09-16,2.336
2019-09-12,2.369
2019-09-11,2.451
2019-09-10,2.553
2019-09-09,2.607
2019-09-06,2.597
2019-09-05,2.536
2019-09-04,2.445
2019-09-03,2.513
2019-09-02,2.55
2019-08-30,2.572
2019-08-29,2.478
2019-08-28,2.609
2019-08-27,2.677
2019-08-26,2.639
2019-08-23,2.586
2019-08-22,2.544
2019-08-21,2.5832
2019-08-20,2.642
2019-08-19,2.666
2019-08-16,2.665
2019-08-15,2.659
2019-08-14,2.689
2019-08-13,2.667
2019-08-12,2.629
2019-08-09,2.596
2019-08-08,2.5
2019-08-07,2.22
2019-08-06,2.261
2019-08-05,2.544
2019-08-02,2.634
2019-08-01,2.634
2019-07-31,2.642
2019-07-30,2.621
2019-07-29,2.629
2019-07-26,2.636
2019-07-25,2.628
2019-07-24,2.481
2019-07-23,2.562
2019-07-22,2.6698
2019-07-19,2.827
2019-07-18,2.772
2019-07-17,2.711
2019-07-16,2.725
2019-07-15,2.6175
2019-07-12,2.235
2019-07-11,1.998
2019-07-10,1.814
2019-07-09,1.773
2019-07-08,1.445
2019-07-05,1.055
2019-07-04,0.844
2019-07-03,0.877
2019-07-02,0.914
2019-07-01,1.065
2019-06-28,1.3705
2019-06-27,0.9615
2019-06-26,0.991
2019-06-25,1.023
2019-06-24,1.0
2019-06-21,1.112
2019-06-20,1.253
2019-06-19,1.447
2019-06-18,1.601
2019-06-17,1.801
2019-06-14,1.723
2019-06-13,1.924
2019-06-12,1.939
2019-06-11,2.053
2019-06-10,1.848
2019-06-06,1.521
2019-06-05,1.593
2019-06-04,1.738
2019-06-03,2.003
2019-05-31,2.194
2019-05-30,2.067
2019-05-29,2.491
2019-05-28,2.76
2019-05-27,2.666
2019-05-24,2.342
2019-05-23,2.584
2019-05-22,2.623
2019-05-21,2.75
2019-05-20,2.5845
2019-05-17,2.134
2019-05-16,2.281
2019-05-15,2.5334
2019-05-14,2.4123
2019-05-13,2.156
2019-05-10,1.826
2019-05-09,1.513
2019-05-08,1.141
2019-05-07,1.391
2019-05-06,1.642
2019-05-05,1.79
2019-04-30,2.086
2019-04-29,1.7
2019-04-28,2.07
2019-04-26,2.496
2019-04-25,2.785
2019-04-24,2.752
2019-04-23,2.828
2019-04-22,2.557
2019-04-19,2.661
2019-04-18,2.812
2019-04-17,2.998
2019-04-16,2.883
2019-04-15,2.797
2019-04-12,2.652
2019-04-11,2.735
2019-04-10,2.278
2019-04-09,1.797
2019-04-08,1.428
2019-04-04,1.417
2019-04-03,1.663
2019-04-02,1.956
2019-04-01,2.315
2019-03-29,2.486
2019-03-28,2.041
2019-03-27,2.286
2019-03-26,2.495
2019-03-25,2.535
2019-03-22,2.62
2019-03-21,2.661
2019-03-20,2.714
2019-03-19,2.666
2019-03-18,2.756
2019-03-15,2.655
2019-03-14,2.31
2019-03-13,2.079
2019-03-12,2.365
2019-03-11,2.092
2019-03-08,2.047
2019-03-07,2.06
2019-03-06,2.074
2019-03-05,2.266
2019-03-04,1.933
2019-03-01,2.155
2019-02-28,2.584
2019-02-27,2.654
2019-02-26,2.705
2019-02-25,2.605
2019-02-22,2.431
2019-02-21,2.03
2019-02-20,1.854
2019-02-19,1.967
2019-02-18,1.8224
2019-02-15,1.713
2019-02-14,1.721
2019-02-13,1.722
2019-02-12,2.017
2019-02-11,2.265
2019-02-03,2.086
2019-02-02,2.264
2019-02-01,2.1
2019-01-31,2.238
2019-01-30,2.0021
2019-01-29,2.078
2019-01-28,2.194
2019-01-25,2.362
2019-01-24,2.263
2019-01-23,2.244
2019-01-22,2.243
2019-01-21,2.24
2019-01-18,2.1785
2019-01-17,2.259
2019-01-16,2.306
2019-01-15,2.245
2019-01-14,1.878
2019-01-11,1.708
2019-01-10,1.743
2019-01-09,1.567
2019-01-08,1.414
2019-01-07,1.447
2019-01-04,1.649
2019-01-03,1.968
2019-01-02,2.3
2018-12-29,2.554
