date,value
2020-01-01,-0.49
2019-12-31,-0.49
2019-12-30,-0.32
2019-12-27,-0.5
2019-12-26,-0.5
2019-12-25,-0.5
2019-12-24,-0.5
2019-12-23,-0.49
2019-12-20,-0.4725
2019-12-19,-0.47
2019-12-18,-0.47
2019-12-17,-0.4725
2019-12-16,-0.4725
2019-12-13,-0.4725
2019-12-12,-0.47
2019-12-11,-0.4725
2019-12-10,-0.47
2019-12-09,-0.47
2019-12-06,-0.47
2019-12-05,-0.48
2019-12-04,-0.49
2019-12-03,-0.48
2019-12-02,-0.4825
2019-11-29,-0.4725
2019-11-28,-0.475
2019-11-27,-0.4825
2019-11-26,-0.47
2019-11-25,-0.47
2019-11-22,-0.47
2019-11-21,-0.4825
2019-11-20,-0.485
2019-11-19,-0.4725
2019-11-18,-0.49
2019-11-15,-0.49
2019-11-14,-0.485
2019-11-13,-0.4775
2019-11-12,-0.485
2019-11-11,-0.475
2019-11-08,-0.475
2019-11-07,-0.49
2019-11-06,-0.49
2019-11-05,-0.47
2019-11-04,-0.4575
2019-11-01,-0.4675
2019-10-31,-0.46
2019-10-30,-0.4675
2019-10-29,-0.46
2019-10-28,-0.4925
2019-10-25,-0.48
2019-10-24,-0.49
2019-10-23,-0.4925
2019-10-22,-0.495
2019-10-21,-0.48
2019-10-18,-0.505
2019-10-17,-0.48
2019-10-16,-0.505
2019-10-15,-0.505
2019-10-14,-0.505
2019-10-11,-0.505
2019-10-10,-0.505
2019-10-09,-0.48
2019-10-08,-0.48
2019-10-07,-0.505
2019-10-04,-0.48
2019-10-03,-0.505
2019-10-02,-0.515
2019-10-01,-0.495
2019-09-30,-0.4975
2019-09-27,-0.48
2019-09-26,-0.465
2019-09-25,-0.5
2019-09-24,-0.525
2019-09-23,-0.525
2019-09-20,-0.5025
2019-09-19,-0.49
2019-09-18,-0.49
2019-09-17,-0.49
2019-09-16,-0.49
2019-09-13,-0.49
2019-09-12,-0.48
2019-09-11,-0.445
2019-09-10,-0.46
2019-09-09,-0.44
2019-09-06,-0.44
2019-09-05,-0.44
2019-09-04,-0.44
2019-09-03,-0.44
2019-09-02,-0.44
2019-08-30,-0.44
2019-08-29,-0.44
2019-08-28,-0.4475
2019-08-27,-0.4375
2019-08-26,-0.44
2019-08-23,-0.43
2019-08-22,-0.425
2019-08-21,-0.44
2019-08-20,-0.3925
2019-08-19,-0.44
2019-08-16,-0.425
2019-08-15,-0.415
2019-08-14,-0.415
2019-08-13,-0.415
2019-08-12,-0.415
2019-08-09,-0.4
2019-08-08,-0.415
2019-08-07,-0.415
2019-08-06,-0.415
2019-08-05,-0.415
2019-08-02,-0.415
2019-08-01,-0.415
2019-07-31,-0.415
2019-07-30,-0.415
2019-07-29,-0.43
2019-07-26,-0.4325
2019-07-25,-0.395
2019-07-24,-0.3875
2019-07-23,-0.395
2019-07-22,-0.3875
2019-07-19,-0.3875
2019-07-18,-0.395
2019-07-17,-0.395
2019-07-16,-0.4
2019-07-15,-0.395
2019-07-12,-0.3875
2019-07-11,-0.39
2019-07-10,-0.395
2019-07-09,-0.395
2019-07-08,-0.3875
2019-07-05,-0.395
2019-07-04,-0.39
2019-07-03,-0.3875
2019-07-02,-0.4
2019-07-01,-0.3875
2019-06-28,-0.43
2019-06-27,-0.415
2019-06-26,-0.43
2019-06-25,-0.43
2019-06-24,-0.395
2019-06-21,-0.4275
2019-06-20,-0.395
2019-06-19,-0.395
2019-06-18,-0.3875
2019-06-17,-0.3875
2019-06-14,-0.4
2019-06-13,-0.3875
2019-06-12,-0.395
2019-06-11,-0.3875
2019-06-10,-0.395
2019-06-07,-0.4
2019-06-06,-0.3875
2019-06-05,-0.395
2019-06-04,-0.395
2019-06-03,-0.395
2019-05-31,-0.425
2019-05-30,-0.395
2019-05-29,-0.43
2019-05-28,-0.4325
2019-05-27,-0.45
2019-05-24,-0.395
2019-05-23,-0.4
2019-05-22,-0.395
2019-05-21,-0.39
