date,value
2020-01-02,0.71
2019-12-31,0.71
2019-12-30,0.705
2019-12-27,0.71
2019-12-26,0.705
2019-12-24,0.71
2019-12-23,0.71
2019-12-20,0.71
2019-12-19,0.71
2019-12-18,0.71
2019-12-17,0.71
2019-12-16,0.71
2019-12-13,0.71
2019-12-12,0.71
2019-12-11,0.71
2019-12-10,0.71
2019-12-09,0.71
2019-12-06,0.71
2019-12-05,0.71
2019-12-04,0.71
2019-12-03,0.71
2019-12-02,0.71
2019-11-29,0.71
2019-11-28,0.71
2019-11-27,0.71
2019-11-26,0.71
2019-11-25,0.71
2019-11-22,0.71
2019-11-21,0.71
2019-11-20,0.71
2019-11-19,0.71
2019-11-18,0.71
2019-11-15,0.71
2019-11-14,0.71
2019-11-13,0.705
2019-11-12,0.71
2019-11-11,0.71
2019-11-08,0.71
2019-11-07,0.71
2019-11-06,0.71
2019-11-05,0.71
2019-11-04,0.71
2019-11-01,0.71
2019-10-31,0.71
2019-10-30,0.71
2019-10-29,0.71
2019-10-28,0.71
2019-10-25,0.71
2019-10-24,0.71
2019-10-23,0.71
2019-10-22,0.71
2019-10-21,0.71
2019-10-18,0.71
2019-10-17,0.71
2019-10-16,0.71
2019-10-15,0.71
2019-10-14,0.71
2019-10-11,0.71
2019-10-10,0.71
2019-10-09,0.71
2019-10-08,0.73
2019-10-07,0.73
2019-10-04,0.73
2019-10-03,0.73
2019-10-02,0.73
2019-10-01,0.73
2019-09-30,0.73
2019-09-27,0.73
2019-09-26,0.73
2019-09-25,0.73
2019-09-24,0.73
2019-09-23,0.73
2019-09-20,0.73
2019-09-19,0.73
2019-09-18,0.73
2019-09-17,0.73
2019-09-16,0.73
2019-09-13,0.73
2019-09-12,0.73
2019-09-11,0.73
2019-09-10,0.75
2019-09-09,0.75
2019-09-06,0.75
2019-09-05,0.75
2019-09-04,0.75
2019-09-03,0.75
2019-09-02,0.73
2019-08-30,0.825
2019-08-29,0.68
2019-08-28,0.68
2019-08-27,0.68
2019-08-26,0.705
2019-08-23,0.68
2019-08-22,0.68
2019-08-21,0.68
2019-08-20,0.68
2019-08-19,0.68
2019-08-16,0.68
2019-08-15,0.68
2019-08-14,0.68
2019-08-13,0.68
2019-08-12,0.68
2019-08-09,0.68
2019-08-08,0.68
2019-08-07,0.68
2019-08-06,0.68
2019-08-05,0.68
2019-08-02,0.68
2019-08-01,0.68
2019-07-31,0.68
2019-07-30,0.68
2019-07-29,0.68
2019-07-26,0.68
2019-07-25,0.68
2019-07-24,0.68
2019-07-23,0.68
2019-07-22,0.68
2019-07-19,0.68
2019-07-18,0.68
2019-07-17,0.68
2019-07-16,0.7
2019-07-15,0.7
2019-07-12,0.7
2019-07-11,0.7
2019-07-10,0.7
2019-07-09,0.7
2019-07-08,0.7
2019-07-05,0.7
2019-07-04,0.7
2019-07-03,0.7
2019-07-02,0.7
2019-07-01,0.7
2019-06-28,0.7
2019-06-27,0.7
2019-06-26,0.7
2019-06-25,0.7
2019-06-24,0.7
2019-06-21,0.7
2019-06-20,0.7
2019-06-19,0.7
2019-06-18,0.7
2019-06-17,0.7
2019-06-14,0.7
2019-06-13,0.7
2019-06-12,0.7
2019-06-11,0.7
2019-06-10,0.7
2019-06-07,0.7
2019-06-06,0.7
2019-06-05,0.7
2019-06-04,0.7
2019-06-03,0.7
2019-05-31,0.7
2019-05-30,0.7
2019-05-29,0.7
2019-05-28,0.7
2019-05-27,0.69
2019-05-24,0.7
2019-05-23,0.7
2019-05-22,0.7
2019-05-21,0.7
2019-05-20,0.7
2019-05-17,0.7
2019-05-16,0.7
2019-05-15,0.7
2019-05-14,0.7
2019-05-13,0.7
2019-05-10,0.7
2019-05-09,0.7
2019-05-08,0.7
2019-05-07,0.7
2019-05-06,0.75
2019-05-03,0.7
2019-05-02,0.7
2019-05-01,0.7
2019-04-30,0.7
2019-04-29,0.7
2019-04-26,0.7
2019-04-25,0.7
2019-04-24,0.7
2019-04-23,0.7
2019-04-19,0.69
2019-04-18,0.7
2019-04-17,0.7
2019-04-16,0.7
2019-04-15,0.7
2019-04-12,0.7
2019-04-11,0.7
2019-04-10,0.7
2019-04-09,0.7
2019-04-08,0.7
2019-04-05,0.7
2019-04-04,0.7
2019-04-03,0.7
2019-04-02,0.7
2019-04-01,0.7
2019-03-29,0.7
2019-03-28,0.7
2019-03-27,0.7
2019-03-26,0.7
2019-03-25,0.7
2019-03-22,0.7
2019-03-21,0.7
2019-03-20,0.7
2019-03-19,0.7
2019-03-18,0.7
2019-03-15,0.7
2019-03-14,0.7
2019-03-13,0.7
2019-03-12,0.7
2019-03-11,0.7
2019-03-08,0.7
2019-03-07,0.7
2019-03-06,0.7
2019-03-05,0.7
2019-03-04,0.7
2019-03-01,0.7
2019-02-28,0.7
2019-02-27,0.7
2019-02-26,0.7
2019-02-25,0.7
2019-02-22,0.7
2019-02-21,0.7
2019-02-20,0.7
2019-02-19,0.7
2019-02-18,0.7
2019-02-15,0.7
2019-02-14,0.7
2019-02-13,0.7
2019-02-12,0.7
2019-02-11,0.7
2019-02-08,0.7
2019-02-07,0.7
2019-02-06,0.7
2019-02-05,0.7
2019-02-04,0.7
2019-02-01,0.7
2019-01-31,0.7
2019-01-30,0.7
2019-01-29,0.7
2019-01-28,0.7
2019-01-25,0.7
2019-01-24,0.7
2019-01-23,0.7
2019-01-22,0.7
2019-01-21,0.7
2019-01-18,0.7
2019-01-17,0.7
2019-01-16,0.7
2019-01-15,0.7
2019-01-14,0.7
2019-01-11,0.7
2019-01-10,0.7
2019-01-09,0.7
2019-01-08,0.7
2019-01-07,0.7
2019-01-04,0.7
2019-01-03,0.7
2019-01-02,0.7
2019-01-01,0.5
2018-12-31,1.1
2018-12-28,0.69
2018-12-27,0.71
2018-12-26,0.705
2018-12-25,0.5
2018-12-24,0.71
2018-12-21,0.71
2018-12-20,0.71
2018-12-19,0.71
2018-12-18,0.71
2018-12-17,0.71
2018-12-14,0.71
2018-12-13,0.71
2018-12-12,0.71
2018-12-11,0.71
2018-12-10,0.71
2018-12-07,0.71
2018-12-06,0.71
2018-12-05,0.71
2018-12-04,0.71
2018-12-03,0.71
2018-11-30,0.71
2018-11-29,0.71
2018-11-28,0.71
2018-11-27,0.71
2018-11-26,0.71
2018-11-23,0.71
2018-11-22,0.71
2018-11-21,0.71
2018-11-20,0.71
2018-11-19,0.71
2018-11-16,0.71
2018-11-15,0.71
2018-11-14,0.71
2018-11-13,0.71
2018-11-12,0.71
2018-11-09,0.71
2018-11-08,0.71
2018-11-07,0.71
2018-11-06,0.71
2018-11-05,0.71
2018-11-02,0.71
2018-11-01,0.71
2018-10-31,0.71
2018-10-30,0.71
2018-10-29,0.71
2018-10-26,0.71
2018-10-25,0.71
2018-10-24,0.71
2018-10-23,0.71
2018-10-22,0.71
2018-10-19,0.71
2018-10-18,0.71
2018-10-17,0.71
2018-10-16,0.71
2018-10-15,0.71
2018-10-12,0.71
2018-10-11,0.71
2018-10-10,0.71
2018-10-09,0.71
2018-10-08,0.71
2018-10-05,0.71
2018-10-04,0.71
2018-10-03,0.71
2018-10-02,0.71
2018-10-01,0.71
2018-09-28,0.71
2018-09-27,0.71
2018-09-26,0.71
2018-09-25,0.71
2018-09-24,0.71
2018-09-21,0.71
2018-09-20,0.71
2018-09-19,0.71
2018-09-18,0.71
2018-09-17,0.71
2018-09-14,0.71
2018-09-13,0.71
2018-09-12,0.71
2018-09-11,0.7
2018-09-10,0.7
2018-09-07,0.7
2018-09-06,0.74
2018-09-05,0.7
2018-09-04,0.7
2018-09-03,0.7
2018-08-31,0.7
2018-08-30,0.7
2018-08-29,0.7
2018-08-28,0.7
2018-08-27,0.02
2018-08-24,0.7
2018-08-23,0.7
2018-08-22,0.7
2018-08-21,0.7
2018-08-20,0.7
2018-08-17,0.7
2018-08-16,0.7
2018-08-15,0.7
2018-08-14,0.7
2018-08-13,0.7
2018-08-10,0.7
2018-08-09,0.7
2018-08-08,0.7
2018-08-07,0.7
2018-08-06,0.7
2018-08-03,0.7
2018-08-02,0.7
2018-08-01,0.5
2018-07-31,0.55
2018-07-30,0.5
2018-07-27,0.5
2018-07-26,0.53
2018-07-25,0.53
2018-07-24,0.53
2018-07-23,0.53
2018-07-20,0.53
2018-07-19,0.53
2018-07-18,0.53
2018-07-17,0.53
2018-07-16,0.52
2018-07-13,0.52
2018-07-12,0.52
2018-07-11,0.52
2018-07-10,0.52
2018-07-09,0.52
2018-07-06,0.52
2018-07-05,0.52
2018-07-04,0.52
2018-07-03,0.5
2018-07-02,0.5
2018-06-29,0.6
2018-06-28,0.5
2018-06-27,0.5
2018-06-26,0.5
2018-06-25,0.5
2018-06-22,0.5
2018-06-21,0.5
2018-06-20,0.5
2018-06-19,0.5
2018-06-18,0.5
2018-06-15,0.5
2018-06-14,0.5
2018-06-13,0.5
2018-06-12,0.5
2018-06-11,0.5
2018-06-08,0.5
2018-06-07,0.5
2018-06-06,0.5
2018-06-05,0.5
2018-06-04,0.48
2018-06-01,0.48
2018-05-31,0.515
2018-05-30,0.515
2018-05-29,0.515
2018-05-28,0.5
2018-05-25,0.515
2018-05-24,0.515
2018-05-23,0.515
2018-05-22,0.48
2018-05-21,0.515
2018-05-18,0.515
2018-05-17,0.48
2018-05-16,0.515
2018-05-15,0.515
2018-05-14,0.48
2018-05-11,0.48
2018-05-10,0.515
2018-05-09,0.515
2018-05-08,0.515
2018-05-07,0.5
2018-05-04,0.515
2018-05-03,0.515
2018-05-02,0.515
2018-05-01,0.48
2018-04-30,0.515
2018-04-27,0.48
2018-04-26,0.515
2018-04-25,0.515
2018-04-24,0.48
2018-04-23,0.515
2018-04-20,0.515
2018-04-19,0.515
2018-04-18,0.515
2018-04-17,0.48
2018-04-16,0.515
2018-04-13,0.48
2018-04-12,0.515
2018-04-11,0.515
2018-04-10,0.515
2018-04-09,0.47
2018-04-06,0.47
2018-04-05,0.515
2018-04-04,0.47
2018-04-03,0.515
2018-04-02,0.5
2018-03-30,0.55
2018-03-29,0.515
2018-03-28,0.47
2018-03-27,0.47
2018-03-26,0.515
2018-03-23,0.47
2018-03-22,0.515
2018-03-21,0.515
2018-03-20,0.47
2018-03-19,0.515
2018-03-16,0.515
2018-03-15,0.47
2018-03-14,0.515
2018-03-13,0.515
2018-03-12,0.515
2018-03-09,0.515
2018-03-08,0.47
2018-03-07,0.47
2018-03-06,0.47
2018-03-05,0.515
2018-03-02,0.515
2018-03-01,0.515
2018-02-28,0.47
2018-02-27,0.47
2018-02-26,0.47
2018-02-23,0.515
2018-02-22,0.515
2018-02-21,0.515
2018-02-20,0.47
2018-02-19,0.47
2018-02-16,0.47
2018-02-15,0.47
2018-02-14,0.47
2018-02-13,0.47
2018-02-12,0.515
2018-02-09,0.515
2018-02-08,0.515
2018-02-07,0.515
2018-02-06,0.47
2018-02-05,0.515
2018-02-02,0.515
2018-02-01,0.47
2018-01-31,0.47
2018-01-30,0.47
2018-01-29,0.47
2018-01-26,0.47
2018-01-25,0.47
2018-01-24,0.515
2018-01-23,0.515
2018-01-22,0.515
2018-01-19,0.515
2018-01-18,0.515
2018-01-17,0.47
2018-01-16,0.515
2018-01-15,0.47
2018-01-12,0.515
2018-01-11,0.47
2018-01-10,0.515
2018-01-09,0.515
2018-01-08,0.495
2018-01-05,0.525
2018-01-04,0.5
2018-01-03,0.675
2018-01-02,0.675
2018-01-01,0.395
2017-12-29,0.675
2017-12-28,0.575
2017-12-27,0.525
2017-12-26,0.34
2017-12-25,0.34
2017-12-22,0.52
2017-12-21,0.525
2017-12-20,0.525
2017-12-19,0.525
2017-12-18,0.52
2017-12-15,0.52
2017-12-14,0.525
2017-12-13,0.525
2017-12-12,0.52
2017-12-11,0.52
2017-12-08,0.52
2017-12-07,0.52
2017-12-06,0.52
2017-12-05,0.525
2017-12-04,0.48
2017-12-01,0.505
2017-11-30,0.505
2017-11-29,0.505
2017-11-28,0.505
2017-11-27,0.505
2017-11-24,0.505
2017-11-23,0.505
2017-11-22,0.505
2017-11-21,0.505
2017-11-20,0.505
2017-11-17,0.505
2017-11-16,0.505
2017-11-15,0.505
2017-11-14,0.505
2017-11-13,0.505
2017-11-10,0.505
2017-11-09,0.505
2017-11-08,0.505
2017-11-07,0.5
2017-11-06,0.48
2017-11-03,0.48
2017-11-02,0.465
2017-11-01,0.25
2017-10-31,0.25
2017-10-30,0.25
2017-10-27,0.25
2017-10-26,0.24
2017-10-25,0.24
2017-10-24,0.24
2017-10-23,0.24
2017-10-20,0.24
2017-10-19,0.24
2017-10-18,0.24
2017-10-17,0.24
2017-10-16,0.24
2017-10-13,0.24
2017-10-12,0.24
2017-10-11,0.24
2017-10-10,0.24
2017-10-09,0.24
2017-10-06,0.24
2017-10-05,0.24
2017-10-04,0.24
2017-10-03,0.24
2017-10-02,0.24
2017-09-29,0.65
2017-09-28,0.24
2017-09-27,0.24
2017-09-26,0.24
2017-09-25,0.24
2017-09-22,0.23
2017-09-21,0.23
2017-09-20,0.23
2017-09-19,0.23
2017-09-18,0.23
2017-09-15,0.23
2017-09-14,0.23
2017-09-13,0.23
2017-09-12,0.23
2017-09-11,0.23
2017-09-08,0.23
2017-09-07,0.23
2017-09-06,0.23
2017-09-05,0.23
2017-09-04,0.23
2017-09-01,0.23
2017-08-31,0.23
2017-08-30,0.24
2017-08-29,0.24
2017-08-28,0.25
2017-08-25,0.24
2017-08-24,0.24
2017-08-23,0.24
2017-08-22,0.24
2017-08-21,0.24
2017-08-18,0.24
2017-08-17,0.24
2017-08-16,0.24
2017-08-15,0.24
2017-08-14,0.24
2017-08-11,0.24
2017-08-10,0.24
2017-08-09,0.24
2017-08-08,0.24
2017-08-07,0.24
2017-08-04,0.24
2017-08-03,0.24
2017-08-02,0.24
2017-08-01,0.24
2017-07-31,0.28
2017-07-28,0.28
2017-07-27,0.24
2017-07-26,0.28
2017-07-25,0.24
2017-07-24,0.24
2017-07-21,0.24
2017-07-20,0.28
2017-07-19,0.24
2017-07-18,0.24
2017-07-17,0.24
2017-07-14,0.24
2017-07-13,0.28
2017-07-12,0.28
2017-07-11,0.28
2017-07-10,0.28
2017-07-07,0.24
2017-07-06,0.24
2017-07-05,0.24
2017-07-04,0.2163
2017-07-03,0.2138
2017-06-30,0.395
2017-06-29,0.2188
2017-06-28,0.2188
2017-06-27,0.2188
2017-06-26,0.2175
2017-06-23,0.175
2017-06-22,0.2188
2017-06-21,0.2175
2017-06-20,0.2188
2017-06-19,0.215
2017-06-16,0.175
2017-06-15,0.2163
2017-06-14,0.215
2017-06-13,0.215
2017-06-12,0.2163
2017-06-09,0.175
2017-06-08,0.2188
2017-06-07,0.2188
2017-06-06,0.2188
2017-06-05,0.2188
2017-06-02,0.175
2017-06-01,0.2188
2017-05-31,0.2175
2017-05-30,0.2188
2017-05-29,0.175
2017-05-26,0.175
2017-05-25,0.2188
2017-05-24,0.1663
2017-05-23,0.1663
2017-05-22,0.1663
2017-05-19,0.175
2017-05-18,0.1663
2017-05-17,0.1663
2017-05-16,0.1663
2017-05-15,0.1663
2017-05-12,0.175
2017-05-11,0.1663
2017-05-10,0.1675
2017-05-09,0.1663
2017-05-08,0.1675
2017-05-05,0.175
2017-05-04,0.1638
2017-05-03,0.1663
2017-05-02,0.1663
2017-05-01,0.125
2017-04-28,0.1251
2017-04-27,0.125
2017-04-26,0.1663
2017-04-25,0.1663
2017-04-24,0.1663
2017-04-21,0.095
2017-04-20,0.1663
2017-04-19,0.1675
2017-04-18,0.1675
2017-04-17,0.125
2017-04-14,0.125
2017-04-13,0.125
2017-04-12,0.125
2017-04-11,0.125
2017-04-10,0.175
2017-04-07,0.1681
2017-04-06,0.1669
2017-04-05,0.1669
2017-04-04,0.1669
2017-04-03,0.1669
2017-03-31,0.2501
2017-03-30,0.1663
2017-03-29,0.1663
2017-03-28,0.1663
2017-03-27,0.1675
2017-03-24,0.1675
2017-03-23,0.1675
2017-03-22,0.1675
2017-03-21,0.1675
2017-03-20,0.1675
2017-03-17,0.1675
2017-03-16,0.1675
2017-03-15,0.1675
2017-03-14,0.1675
2017-03-13,0.1675
2017-03-10,0.175
2017-03-09,0.1663
2017-03-08,0.1675
2017-03-07,0.1663
2017-03-06,0.1675
2017-03-03,0.175
2017-03-02,0.1675
2017-03-01,0.1663
2017-02-28,0.1663
2017-02-27,0.1675
2017-02-24,0.1663
2017-02-23,0.1663
2017-02-22,0.1663
2017-02-21,0.1663
2017-02-20,0.1663
2017-02-17,0.1663
2017-02-16,0.1663
2017-02-15,0.1663
2017-02-14,0.1663
2017-02-13,0.1663
2017-02-10,0.175
2017-02-09,0.1663
2017-02-08,0.1663
2017-02-07,0.1663
2017-02-06,0.1663
2017-02-03,0.175
2017-02-02,0.1675
2017-02-01,0.1675
2017-01-31,0.1688
2017-01-30,0.1688
2017-01-27,0.175
2017-01-26,0.17
2017-01-25,0.17
2017-01-24,0.1688
2017-01-23,0.1688
2017-01-20,0.175
2017-01-19,0.1688
2017-01-18,0.1688
2017-01-17,0.1688
2017-01-16,0.17
2017-01-13,0.175
2017-01-12,0.1688
2017-01-11,0.1675
2017-01-10,0.1688
2017-01-09,0.1688
2017-01-06,0.125
2017-01-05,0.1675
2017-01-04,0.1675
2017-01-03,0.1675
2017-01-02,0.125
2016-12-30,0.0751
2016-12-29,0.0751
2016-12-28,0.0751
2016-12-27,0.125
2016-12-26,0.125
2016-12-23,0.1675
2016-12-22,0.17
2016-12-21,0.17
2016-12-20,0.1688
2016-12-19,0.17
2016-12-16,0.175
2016-12-15,0.1675
2016-12-14,0.1688
2016-12-13,0.17
2016-12-12,0.1675
2016-12-09,0.175
2016-12-08,0.1688
2016-12-07,0.1688
2016-12-06,0.1688
2016-12-05,0.1688
2016-12-02,0.1675
2016-12-01,0.1688
2016-11-30,0.1675
2016-11-29,0.17
2016-11-28,0.17
2016-11-25,0.175
2016-11-24,0.1713
2016-11-23,0.1713
2016-11-22,0.17
2016-11-21,0.1713
2016-11-18,0.175
2016-11-17,0.17
2016-11-16,0.1713
2016-11-15,0.1713
2016-11-14,0.17
2016-11-11,0.175
2016-11-10,0.1713
2016-11-09,0.1713
2016-11-08,0.1713
2016-11-07,0.1713
2016-11-04,0.175
2016-11-03,0.1713
2016-11-02,0.1713
2016-11-01,0.17
2016-10-31,0.1675
2016-10-28,0.1501
2016-10-27,0.175
2016-10-26,0.175
2016-10-25,0.175
2016-10-24,0.175
2016-10-21,0.175
2016-10-20,0.1706
2016-10-19,0.1706
2016-10-18,0.1719
2016-10-17,0.1719
2016-10-14,0.175
2016-10-13,0.1731
2016-10-12,0.1731
2016-10-11,0.1719
2016-10-10,0.1719
2016-10-07,0.125
2016-10-06,0.1719
2016-10-05,0.1706
2016-10-04,0.17
2016-10-03,0.17
2016-09-30,0.1501
2016-09-29,0.17
2016-09-28,0.1668
2016-09-27,0.17
2016-09-26,0.17
2016-09-23,0.175
2016-09-22,0.1713
2016-09-21,0.1713
2016-09-20,0.1713
2016-09-19,0.1713
2016-09-16,0.175
2016-09-15,0.1706
2016-09-14,0.1706
2016-09-13,0.1706
2016-09-12,0.1714
2016-09-09,0.175
2016-09-08,0.1706
2016-09-07,0.1706
2016-09-06,0.1706
2016-09-05,0.1706
2016-09-02,0.175
2016-09-01,0.1706
2016-08-31,0.1681
2016-08-30,0.1719
2016-08-29,0.095
2016-08-26,0.175
2016-08-25,0.1719
2016-08-24,0.1719
2016-08-23,0.1719
2016-08-22,0.1719
2016-08-19,0.175
2016-08-18,0.175
2016-08-17,0.175
2016-08-16,0.175
2016-08-15,0.175
2016-08-12,0.175
2016-08-11,0.175
2016-08-10,0.125
2016-08-09,0.125
2016-08-08,0.125
2016-08-05,0.175
2016-08-04,0.3294
