date,value
2020-01-02,1.9
2019-12-31,4.27
2019-12-30,2.36
2019-12-27,2.58
2019-12-24,2.68
2019-12-23,1.97
2019-12-20,1.88
2019-12-19,1.78
2019-12-18,1.68
2019-12-17,1.65
2019-12-16,1.81
2019-12-13,1.37
2019-12-12,1.18
2019-12-11,1.12
2019-12-10,1.1
2019-12-09,1.07
2019-12-06,1.02
2019-12-05,1.0
2019-12-04,1.12
2019-12-03,1.17
2019-12-02,1.53
2019-11-29,2.02
2019-11-28,1.91
2019-11-27,1.78
2019-11-26,1.61
2019-11-25,1.51
2019-11-22,1.68
2019-11-21,1.9
2019-11-20,1.98
2019-11-19,1.68
2019-11-18,1.73
2019-11-15,1.94
2019-11-14,2.08
2019-11-13,1.89
2019-11-12,1.83
2019-11-11,1.2
2019-11-08,0.78
2019-11-07,0.76
2019-11-06,0.63
2019-11-05,0.65
2019-11-04,0.9
2019-11-01,1.38
2019-10-31,1.95
2019-10-30,1.6
2019-10-29,0.98
2019-10-28,1.44
2019-10-25,1.77
2019-10-24,1.35
2019-10-23,1.15
2019-10-22,1.23
2019-10-21,1.22
2019-10-18,1.17
2019-10-17,0.9
2019-10-16,0.73
2019-10-15,0.72
2019-10-14,0.92
2019-10-11,0.73
2019-10-10,0.84
2019-10-09,1.38
2019-10-08,1.67
2019-10-04,1.08
2019-10-03,1.16
2019-10-02,1.33
2019-10-01,2.78
2019-09-30,2.78
2019-09-27,1.82
2019-09-26,1.3
2019-09-25,0.53
2019-09-24,0.33
2019-09-23,0.31
2019-09-20,0.26
2019-09-19,0.27
2019-09-18,0.3
2019-09-17,0.35
2019-09-16,0.38
2019-09-13,0.49
2019-09-12,0.63
2019-09-11,0.65
2019-09-10,0.58
2019-09-09,0.39
2019-09-06,0.32
2019-09-05,0.32
2019-09-04,0.36
2019-09-03,0.66
2019-09-02,1.47
2019-08-30,1.23
2019-08-29,0.55
2019-08-28,0.47
2019-08-27,0.65
2019-08-26,0.84
2019-08-23,0.73
2019-08-22,0.75
2019-08-21,0.9
2019-08-20,0.92
2019-08-19,1.0
2019-08-16,1.92
2019-08-15,1.12
2019-08-14,0.39
2019-08-13,0.41
2019-08-12,0.32
2019-08-09,0.38
2019-08-08,0.71
2019-08-07,0.82
2019-08-06,1.31
2019-08-05,1.25
2019-08-02,0.88
2019-08-01,1.05
2019-07-31,1.73
2019-07-30,1.55
2019-07-29,1.29
2019-07-26,1.15
2019-07-25,1.11
2019-07-24,1.0
2019-07-23,1.02
2019-07-22,1.11
2019-07-19,1.15
2019-07-18,1.05
2019-07-17,0.8
2019-07-16,0.77
2019-07-15,0.7
2019-07-12,1.07
2019-07-11,1.4
2019-07-10,1.53
2019-07-09,1.84
2019-07-08,2.06
2019-07-05,2.63
2019-07-04,2.97
2019-07-03,2.05
2019-07-02,1.98
2019-07-01,2.92
2019-06-28,2.92
2019-06-27,2.41
2019-06-26,2.53
2019-06-25,2.49
2019-06-24,2.43
2019-06-21,2.2
2019-06-20,1.88
2019-06-19,1.59
2019-06-18,1.47
2019-06-17,1.57
2019-06-14,1.73
2019-06-13,2.19
2019-06-12,1.6
2019-06-11,0.97
2019-06-10,0.97
2019-06-07,1.2
2019-06-06,1.2
2019-06-05,1.18
2019-06-04,1.26
2019-06-03,1.31
2019-05-31,1.89
2019-05-30,1.18
2019-05-29,1.44
2019-05-28,1.53
2019-05-27,1.29
2019-05-24,1.01
2019-05-23,0.93
2019-05-22,0.88
2019-05-21,0.92
2019-05-20,0.96
2019-05-17,0.75
2019-05-16,0.74
2019-05-15,0.77
2019-05-14,0.79
2019-05-13,0.79
2019-05-10,0.79
2019-05-09,0.82
2019-05-08,0.75
2019-05-07,0.8
2019-05-06,0.96
2019-05-03,1.32
2019-05-02,1.66
2019-05-01,2.15
2019-04-30,2.15
2019-04-29,1.67
2019-04-26,1.61
2019-04-25,1.71
2019-04-24,1.79
2019-04-23,1.61
2019-04-22,1.62
2019-04-19,1.62
2019-04-18,1.62
2019-04-17,1.39
2019-04-16,1.81
2019-04-15,1.8
2019-04-12,1.66
2019-04-11,2.72
2019-04-10,2.7
2019-04-09,2.02
2019-04-08,1.78
2019-04-05,1.86
2019-04-04,1.86
2019-04-03,1.66
2019-04-02,1.61
2019-04-01,1.4
2019-03-29,2.6
2019-03-28,1.48
2019-03-27,1.45
2019-03-26,1.57
2019-03-25,1.87
2019-03-22,1.7
2019-03-21,1.06
2019-03-20,0.79
2019-03-19,0.69
2019-03-18,0.67
2019-03-15,0.63
2019-03-14,0.58
2019-03-13,0.53
2019-03-12,0.53
2019-03-11,0.61
2019-03-08,0.54
2019-03-07,0.55
2019-03-06,0.58
2019-03-05,0.67
2019-03-04,0.77
2019-03-01,0.64
2019-02-28,0.92
2019-02-27,0.34
2019-02-26,0.4
2019-02-25,0.4
2019-02-22,0.43
2019-02-21,0.46
2019-02-20,0.49
2019-02-19,0.48
2019-02-18,0.54
2019-02-15,0.54
2019-02-14,0.49
2019-02-13,0.59
2019-02-12,0.66
2019-02-11,0.67
2019-02-08,0.7
2019-02-07,1.01
2019-02-06,1.01
2019-02-05,1.01
2019-02-04,1.01
2019-02-01,0.62
2019-01-31,1.34
2019-01-30,0.55
2019-01-29,0.27
2019-01-28,0.27
2019-01-25,0.27
2019-01-24,0.26
2019-01-23,0.25
2019-01-22,0.3
2019-01-21,0.38
2019-01-18,0.21
2019-01-17,0.24
2019-01-16,0.27
2019-01-15,0.25
2019-01-14,0.19
2019-01-11,0.18
2019-01-10,0.18
2019-01-09,0.21
2019-01-08,0.39
2019-01-07,0.75
2019-01-04,1.34
2019-01-03,1.53
2019-01-02,1.24
2019-01-01,3.13
2018-12-31,3.13
2018-12-28,2.67
2018-12-27,2.2
2018-12-26,2.0
2018-12-25,2.0
2018-12-24,2.0
2018-12-21,1.23
2018-12-20,0.79
2018-12-19,0.65
2018-12-18,0.83
2018-12-17,1.08
2018-12-14,0.95
2018-12-13,0.79
2018-12-12,0.74
2018-12-11,0.72
2018-12-10,0.73
2018-12-07,0.65
2018-12-06,0.66
2018-12-05,0.78
2018-12-04,0.66
2018-12-03,0.66
2018-11-30,1.46
2018-11-29,0.73
2018-11-28,0.55
2018-11-27,0.65
2018-11-26,0.64
2018-11-23,0.57
2018-11-22,0.41
2018-11-21,0.3
2018-11-20,0.32
2018-11-19,0.33
2018-11-16,0.36
2018-11-15,0.38
2018-11-14,0.31
2018-11-13,0.46
2018-11-12,0.45
2018-11-09,0.34
2018-11-08,0.52
2018-11-07,0.55
2018-11-06,0.45
2018-11-05,0.42
2018-11-02,0.4
2018-11-01,0.48
2018-10-31,0.69
2018-10-30,0.29
2018-10-29,0.36
2018-10-26,0.4
2018-10-25,0.53
2018-10-24,0.65
2018-10-23,0.68
2018-10-22,0.69
2018-10-19,0.64
2018-10-18,0.66
2018-10-17,0.63
2018-10-16,0.63
2018-10-15,0.67
2018-10-12,0.74
2018-10-11,0.82
2018-10-10,0.82
2018-10-09,1.23
2018-10-08,1.17
2018-10-05,0.88
2018-10-04,0.93
2018-10-03,0.91
2018-10-02,1.2
2018-10-01,3.33
2018-09-28,3.33
2018-09-27,2.98
2018-09-26,2.2
2018-09-25,2.88
2018-09-24,2.88
2018-09-21,1.9
2018-09-20,1.54
2018-09-19,1.57
2018-09-18,1.78
2018-09-17,1.4
2018-09-14,1.75
2018-09-13,1.63
2018-09-12,0.93
2018-09-11,0.68
2018-09-10,0.63
2018-09-07,0.61
2018-09-06,0.68
2018-09-05,0.75
2018-09-04,0.92
2018-09-03,1.17
2018-08-31,1.01
2018-08-30,0.8
2018-08-29,0.82
2018-08-28,0.64
2018-08-27,0.58
2018-08-24,0.52
2018-08-23,0.59
2018-08-22,0.75
2018-08-21,0.75
2018-08-20,0.82
2018-08-17,0.76
2018-08-16,0.6
2018-08-15,0.61
2018-08-14,0.55
2018-08-13,0.52
2018-08-10,0.44
2018-08-09,0.6
2018-08-08,0.62
2018-08-07,0.58
2018-08-06,0.55
2018-08-03,0.5
2018-08-02,0.46
2018-08-01,0.48
2018-07-31,0.76
2018-07-30,0.22
2018-07-27,0.22
2018-07-26,0.23
2018-07-25,0.36
2018-07-24,0.09
2018-07-23,0.05
2018-07-20,0.07
2018-07-19,0.09
2018-07-18,0.16
2018-07-17,0.17
2018-07-16,0.22
2018-07-13,0.28
2018-07-12,0.27
2018-07-11,0.47
2018-07-10,0.58
2018-07-09,0.54
2018-07-06,0.26
2018-07-05,0.83
2018-07-04,1.42
2018-07-03,2.93
2018-07-02,2.7
2018-06-29,2.7
2018-06-28,1.67
2018-06-27,1.22
2018-06-26,0.84
2018-06-25,1.47
2018-06-22,1.18
2018-06-21,0.63
2018-06-20,0.5
2018-06-19,0.48
2018-06-18,0.24
2018-06-15,0.24
2018-06-14,0.23
2018-06-13,0.27
2018-06-12,0.45
2018-06-11,0.74
2018-06-08,0.8
2018-06-07,0.68
2018-06-06,0.55
2018-06-05,0.53
2018-06-04,0.5
2018-06-01,0.38
2018-05-31,1.27
2018-05-30,0.94
2018-05-29,0.45
2018-05-28,0.21
2018-05-25,0.17
2018-05-24,0.12
2018-05-23,0.14
2018-05-22,0.1
2018-05-21,0.1
2018-05-18,0.08
2018-05-17,0.1
2018-05-16,0.12
2018-05-15,0.06
2018-05-14,0.06
2018-05-11,0.06
2018-05-10,0.1
2018-05-09,0.11
2018-05-08,0.12
2018-05-07,0.36
2018-05-04,0.35
2018-05-03,0.35
2018-05-02,0.38
2018-05-01,0.52
2018-04-30,0.52
2018-04-27,0.53
2018-04-26,0.56
2018-04-25,0.49
2018-04-24,0.45
2018-04-23,0.14
2018-04-20,0.12
2018-04-19,0.1
2018-04-18,0.09
2018-04-17,0.1
2018-04-16,0.11
2018-04-13,0.06
2018-04-12,0.02
2018-04-11,0.03
2018-04-10,0.04
2018-04-09,0.07
2018-04-06,0.07
2018-04-05,0.13
2018-04-04,0.13
2018-04-03,0.18
2018-04-02,0.48
2018-03-30,0.48
2018-03-29,0.48
2018-03-28,0.18
2018-03-27,0.22
2018-03-26,0.17
2018-03-23,0.07
2018-03-22,0.02
2018-03-21,0.02
2018-03-20,0.03
2018-03-19,0.02
2018-03-16,0.02
2018-03-15,0.02
2018-03-14,0.02
2018-03-13,0.02
2018-03-12,0.01
2018-03-09,0.01
2018-03-08,0.01
2018-03-07,0.01
2018-03-06,0.01
2018-03-05,0.02
2018-03-02,0.04
2018-03-01,0.09
2018-02-28,0.3
2018-02-27,0.1
2018-02-26,0.09
2018-02-23,0.07
2018-02-22,0.08
2018-02-21,0.07
2018-02-20,0.11
2018-02-19,0.14
2018-02-16,0.14
2018-02-15,0.14
2018-02-14,0.1
2018-02-13,0.09
2018-02-12,0.11
2018-02-09,0.1
2018-02-08,0.09
2018-02-07,0.12
2018-02-06,0.15
2018-02-05,0.18
2018-02-02,0.28
2018-02-01,0.38
2018-01-31,0.96
2018-01-30,0.86
2018-01-29,0.49
2018-01-26,0.18
2018-01-25,0.12
2018-01-24,0.1
2018-01-23,0.11
2018-01-22,0.11
2018-01-19,0.18
2018-01-18,0.36
2018-01-17,0.16
2018-01-16,0.15
2018-01-15,0.15
2018-01-12,0.12
2018-01-11,0.09
2018-01-10,0.15
2018-01-09,0.21
2018-01-08,0.29
2018-01-05,0.28
2018-01-04,0.33
2018-01-03,0.36
2018-01-01,1.29
2017-12-29,1.29
2017-12-28,0.43
2017-12-27,0.5
2017-12-26,0.18
2017-12-25,0.18
2017-12-22,0.18
2017-12-21,0.11
2017-12-20,0.08
2017-12-19,0.06
2017-12-18,0.08
2017-12-15,0.13
2017-12-14,0.19
2017-12-13,0.05
2017-12-12,0.04
2017-12-11,0.05
2017-12-08,0.04
2017-12-07,0.06
2017-12-06,0.07
2017-12-05,0.05
2017-12-04,0.11
2017-12-01,0.25
2017-11-30,0.25
2017-11-29,0.21
2017-11-28,0.35
2017-11-27,0.5
2017-11-24,0.56
2017-11-23,0.12
2017-11-22,0.1
2017-11-21,0.14
2017-11-20,0.15
2017-11-17,0.23
2017-11-16,0.27
2017-11-15,0.32
2017-11-14,0.35
2017-11-13,0.34
2017-11-10,0.38
2017-11-09,0.4
2017-11-08,0.42
2017-11-07,0.47
2017-11-06,0.45
2017-11-03,0.32
2017-11-02,0.38
2017-11-01,0.49
2017-10-31,1.89
2017-10-30,0.49
2017-10-27,0.18
2017-10-26,0.15
2017-10-25,0.17
2017-10-24,0.17
2017-10-23,0.17
2017-10-20,0.18
2017-10-19,0.14
2017-10-18,0.08
2017-10-17,0.07
2017-10-16,0.06
2017-10-13,0.06
2017-10-12,0.07
2017-10-11,0.07
2017-10-10,0.1
2017-10-09,0.07
2017-10-06,0.1
2017-10-05,0.13
2017-10-04,0.13
2017-10-03,0.23
2017-10-02,0.79
2017-09-29,0.79
2017-09-28,0.26
2017-09-27,0.19
2017-09-26,0.15
2017-09-25,0.17
2017-09-22,0.35
2017-09-21,0.5
2017-09-20,0.23
2017-09-19,0.08
2017-09-18,0.05
2017-09-15,0.05
2017-09-14,0.04
2017-09-13,0.04
2017-09-12,0.04
2017-09-11,0.05
2017-09-08,0.05
2017-09-07,0.09
2017-09-06,0.1
2017-09-05,0.05
2017-09-04,0.04
2017-09-01,0.04
2017-08-31,0.2
2017-08-30,0.14
2017-08-29,0.04
2017-08-28,0.04
2017-08-25,0.04
2017-08-24,0.04
2017-08-23,0.04
2017-08-22,0.04
2017-08-21,0.04
2017-08-18,0.04
2017-08-17,0.04
2017-08-16,0.05
2017-08-15,0.05
2017-08-14,0.05
2017-08-11,0.05
2017-08-10,0.05
2017-08-09,0.05
2017-08-08,0.05
2017-08-07,0.05
2017-08-04,0.04
2017-08-03,0.06
2017-08-02,0.07
2017-08-01,0.18
2017-07-31,0.59
2017-07-28,0.11
2017-07-27,0.05
2017-07-26,0.05
2017-07-25,0.05
2017-07-24,0.05
2017-07-21,0.05
2017-07-20,0.06
2017-07-19,0.05
2017-07-18,0.06
2017-07-17,0.06
2017-07-14,0.06
2017-07-13,0.05
2017-07-12,0.05
2017-07-11,0.04
2017-07-10,0.05
2017-07-07,0.04
2017-07-06,0.05
2017-07-05,0.05
2017-07-04,0.05
2017-07-03,0.09
2017-06-30,0.26
2017-06-29,0.05
2017-06-28,0.05
2017-06-27,0.05
2017-06-26,0.05
2017-06-23,0.05
2017-06-22,0.06
2017-06-21,0.1
2017-06-20,0.1
2017-06-19,0.1
2017-06-16,0.11
2017-06-15,0.1
2017-06-14,0.09
2017-06-13,0.08
2017-06-12,0.07
2017-06-09,0.06
2017-06-08,0.05
2017-06-07,0.05
2017-06-06,0.05
2017-06-05,0.05
2017-06-02,0.05
2017-06-01,0.08
2017-05-31,0.1
2017-05-30,0.04
2017-05-29,0.04
2017-05-26,0.03
2017-05-25,0.03
2017-05-24,0.03
2017-05-23,0.04
2017-05-22,0.04
2017-05-19,0.03
2017-05-18,0.04
2017-05-17,0.05
2017-05-16,0.05
2017-05-15,0.04
2017-05-12,0.04
2017-05-11,0.05
2017-05-10,0.04
2017-05-09,0.05
2017-05-08,0.04
2017-05-05,0.04
2017-05-04,0.06
2017-05-03,0.07
2017-05-02,0.07
2017-05-01,0.12
2017-04-28,0.12
2017-04-27,0.05
2017-04-26,0.05
2017-04-25,0.05
2017-04-24,0.06
2017-04-21,0.05
2017-04-20,0.04
2017-04-19,0.04
2017-04-18,0.04
2017-04-17,0.03
2017-04-14,0.03
2017-04-13,0.03
2017-04-12,0.03
2017-04-11,0.04
2017-04-10,0.04
2017-04-07,0.04
2017-04-06,0.03
2017-04-05,0.03
2017-04-04,0.04
2017-04-03,0.04
2017-03-31,0.04
2017-03-30,0.03
2017-03-29,0.04
2017-03-28,0.04
