date,value
2019-12-30,-0.068
2019-12-27,-0.051
2019-12-26,-0.055
2019-12-25,-0.056
2019-12-24,-0.058
2019-12-23,-0.059
2019-12-20,-0.061
2019-12-19,-0.061
2019-12-18,-0.06
2019-12-17,-0.057
2019-12-16,-0.053
2019-12-13,-0.008
2019-12-12,-0.009
2019-12-11,-0.008
2019-12-10,-0.008
2019-12-09,-0.008
2019-12-06,-0.009
2019-12-05,-0.017
2019-12-04,-0.025
2019-12-03,-0.028
2019-12-02,-0.031
2019-11-29,-0.034
2019-11-28,-0.024
2019-11-27,-0.023
2019-11-26,-0.018
2019-11-25,-0.027
2019-11-22,-0.03
2019-11-21,-0.039
2019-11-20,-0.047
2019-11-19,-0.054
2019-11-18,-0.058
2019-11-15,-0.063
2019-11-14,-0.074
2019-11-13,-0.072
2019-11-12,-0.07
2019-11-11,-0.065
2019-11-08,-0.05
2019-11-07,-0.038
2019-11-06,-0.031
2019-11-05,-0.027
2019-11-01,-0.024
2019-10-31,-0.03
2019-10-30,-0.024
2019-10-29,-0.021
2019-10-28,-0.016
2019-10-25,-0.014
2019-10-24,-0.013
2019-10-23,-0.014
2019-10-21,-0.019
2019-10-18,-0.031
2019-10-17,-0.045
2019-10-16,-0.051
2019-10-15,-0.009
2019-10-11,-0.01
2019-10-10,-0.011
2019-10-09,-0.012
2019-10-08,-0.012
2019-10-07,-0.012
2019-10-04,-0.011
2019-10-03,-0.019
2019-10-02,-0.036
2019-10-01,-0.048
2019-09-30,-0.064
2019-09-27,-0.046
2019-09-26,-0.055
2019-09-25,-0.058
2019-09-24,-0.059
2019-09-20,-0.057
2019-09-19,-0.065
2019-09-18,-0.065
2019-09-17,-0.065
2019-09-13,-0.042
2019-09-12,-0.043
2019-09-11,-0.055
2019-09-10,-0.061
2019-09-09,-0.067
2019-09-06,-0.064
2019-09-05,-0.067
2019-09-04,-0.067
2019-09-03,-0.067
2019-09-02,-0.063
2019-08-30,-0.061
2019-08-29,-0.05
2019-08-28,-0.043
2019-08-27,-0.041
2019-08-26,-0.047
2019-08-23,-0.052
2019-08-22,-0.058
2019-08-21,-0.058
2019-08-20,-0.059
2019-08-19,-0.06
2019-08-16,-0.057
2019-08-15,-0.02
2019-08-14,-0.019
2019-08-13,-0.025
2019-08-09,-0.029
2019-08-08,-0.033
2019-08-07,-0.032
2019-08-06,-0.031
2019-08-05,-0.05
2019-08-02,-0.063
2019-08-01,-0.07
2019-07-31,-0.071
2019-07-30,-0.071
2019-07-29,-0.072
2019-07-26,-0.073
2019-07-25,-0.071
2019-07-24,-0.067
2019-07-23,-0.065
2019-07-22,-0.063
2019-07-19,-0.064
2019-07-18,-0.065
2019-07-17,-0.066
2019-07-16,-0.072
2019-07-12,-0.076
2019-07-11,-0.076
2019-07-10,-0.077
2019-07-09,-0.076
2019-07-08,-0.075
2019-07-05,-0.074
2019-07-04,-0.072
2019-07-03,-0.071
2019-07-02,-0.071
2019-07-01,-0.071
2019-06-28,-0.076
